FILE	 Wves_predicted	 Wves_actual	 coherence	 thresh_predicted	 thresh_actual_d0	 coherence	 thresh_actual_all	 thresh_actual_pm	 bias_delta0	 Wves_actual_minus	 Wves_actual_plus
m18c0r221.htb	0.081	0.178	70	1.322	1.262	70	1.086	0.998	0.55	0.211	0.145
m19c0r65.htb	0.842	0.81	10	2.2	2.867	10	3.096	3.21	-0.886	0.731	0.889
m19c0r65.htb	0.012	0.358	80	0.267	1.045	80	1.328	1.469	0.868	0.358	0.358
m18c0r222.htb	0.204	0.612	16	2.332	3.216	16	2.789	2.576	2.003	0.904	0.319
m18c0r222.htb	0.059	0.173	80	1.249	1.228	80	1.095	1.029	0.219	0.143	0.202
m19c0r67.htb	0.929	1.013	8	3.319	3.932	8	3.455	3.217	-2.331	1.281	0.746
m19c0r67.htb	0.121	0.259	90	1.2	2.122	90	1.31	0.904	1.523	0.221	0.298
m18c0r223.htb	0.276	0.597	24	1.497	2.563	24	1.992	1.707	1.226	0.687	0.507
m18c0r223.htb	0.136	0.138	90	1.048	0.546	90	0.758	0.864	0.448	0.218	0.058
m24c0r245.htb	0.716	0.869	15	2.784	1.911	15	2.166	2.293	-0.143	0.808	0.93
m24c0r245.htb	0.164	0.094	50	1.333	1.184	50	0.988	0.89	0.372	0.099	0.088
m24c0r246.htb	0.457	1.037	14	4.012	4.299	14	4.077	3.966	-0.068	0.886	1.188
m24c0r246.htb	0.029	0.119	50	1.007	0.764	50	1.092	1.256	0.202	0.012	0.226
m19c0r66.htb	0.443	0.945	16	2.377	2.553	16	3.117	3.399	-0.397	0.738	1.152
m19c0r66.htb	0.005	0.31	70	0.241	0.984	70	1.063	1.102	1.017	0.283	0.336
m18c0r224.htb	0.472	0.464	24	1.878	1.869	24	1.8	1.765	-0.932	0.349	0.578
m18c0r224.htb	0.164	0.023	90	1.107	1.04	90	1.119	1.158	-0.151	-0.039	0.085
m18c0r224.htb	0.472	0.464	24	1.878	1.869	24	1.8	1.765	-0.932	0.349	0.578
m18c0r224.htb	0.164	0.023	90	1.107	1.04	90	1.119	1.158	-0.151	-0.039	0.085
m19c0r68.htb	0.921	0.97	8	2.847	0.347	8	2.318	3.304	-3.48	0.717	1.223
