FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c247r2.htb 0.000 0.056 0.167 0.278 0.333 0.556 0.667 1.000 1.000 0.000 0.000 0.167 0.632 0.722 0.833 1.000 1.000 1.000 0.000 0.000 0.000 0.167 0.500 0.444 1.000 1.000 1.000 0.427 0.270 0.329 0.691 0.309 0.671 0.730 0.573 0.008 0.076 0.168 0.635 0.365 0.832 0.924 0.992 0.022 0.185 0.306 0.471 0.529 0.694 0.815 0.978 
m2c252r2.htb 0.000 0.000 0.054 0.189 0.389 0.351 0.703 1.000 1.000 0.000 0.000 0.139 0.333 0.556 0.622 0.865 1.000 1.000 0.000 0.000 0.000 0.189 0.361 0.417 0.811 1.000 1.000 0.282 0.241 0.437 0.520 0.480 0.563 0.759 0.718 0.149 0.378 0.466 0.425 0.575 0.534 0.622 0.851 0.434 0.387 0.555 0.488 0.512 0.445 0.613 0.566 
m2c254r2.htb 0.000 0.000 0.040 0.220 0.360 0.560 0.900 1.000 1.000 0.000 0.000 0.120 0.275 0.373 0.520 0.765 1.000 1.000 0.000 0.000 0.020 0.176 0.294 0.620 0.980 1.000 1.000 0.021 0.213 0.289 0.322 0.678 0.711 0.787 0.979 0.128 0.136 0.430 0.516 0.484 0.570 0.864 0.872 0.017 0.159 0.226 0.397 0.603 0.774 0.841 0.983 
m2c258r2.htb 0.000 0.000 0.098 0.317 0.561 0.732 0.854 1.000 1.000 0.000 0.000 0.220 0.488 0.854 0.902 0.976 1.000 1.000 0.000 0.000 0.024 0.244 0.317 0.659 0.902 1.000 1.000 0.461 0.529 0.507 0.517 0.483 0.493 0.471 0.539 0.182 0.249 0.414 0.541 0.459 0.586 0.751 0.818 0.323 0.383 0.418 0.427 0.573 0.582 0.617 0.677 
m2c260r2.htb 0.000 0.000 0.235 0.559 0.618 0.824 0.912 1.000 1.000 0.000 0.029 0.206 0.559 0.800 0.853 0.941 1.000 1.000 0.000 0.000 0.059 0.235 0.500 0.706 0.943 1.000 1.000 0.342 0.487 0.325 0.513 0.487 0.675 0.513 0.658 0.062 0.227 0.321 0.521 0.479 0.679 0.773 0.938 0.121 0.152 0.329 0.567 0.433 0.671 0.848 0.879 
m2c262r2.htb 0.000 0.000 0.143 0.357 0.488 0.651 0.881 1.000 1.000 0.000 0.024 0.256 0.548 0.786 0.786 0.929 1.000 1.000 0.000 0.000 0.023 0.190 0.310 0.512 0.857 1.000 1.000 0.390 0.482 0.553 0.646 0.354 0.447 0.518 0.610 0.208 0.258 0.438 0.488 0.512 0.562 0.742 0.792 0.483 0.501 0.496 0.524 0.476 0.504 0.499 0.517 
m2c364r2.htb 0.000 0.000 0.171 0.286 0.286 0.686 0.943 0.971 1.000 0.000 0.000 0.086 0.229 0.371 0.686 0.829 1.000 1.000 0.000 0.000 0.114 0.257 0.486 0.829 0.971 1.000 1.000 0.366 0.536 0.493 0.698 0.302 0.507 0.464 0.634 0.013 0.197 0.398 0.463 0.537 0.602 0.803 0.987 0.011 0.151 0.362 0.544 0.456 0.638 0.849 0.989 
m2c365r2.htb 0.000 0.000 0.065 0.323 0.406 0.387 0.781 1.000 1.000 0.000 0.000 0.000 0.188 0.250 0.323 0.645 1.000 1.000 0.000 0.000 0.031 0.219 0.406 0.656 0.806 1.000 1.000 0.372 0.415 0.588 0.477 0.523 0.412 0.585 0.628 0.444 0.482 0.440 0.335 0.665 0.560 0.518 0.556 0.391 0.497 0.426 0.542 0.458 0.574 0.503 0.609 
m2c368r2.htb 0.000 0.000 0.081 0.184 0.351 0.378 0.649 1.000 1.000 0.000 0.026 0.270 0.658 0.737 0.757 0.973 1.000 1.000 0.000 0.000 0.216 0.486 0.757 0.816 0.947 1.000 1.000 0.401 0.449 0.493 0.443 0.557 0.507 0.551 0.599 0.310 0.342 0.520 0.531 0.469 0.480 0.658 0.690 0.136 0.259 0.471 0.554 0.446 0.529 0.741 0.864 
m2c369r2.htb 0.000 0.000 0.000 0.075 0.300 0.375 0.700 0.975 1.000 0.000 0.000 0.050 0.250 0.475 0.625 0.875 1.000 1.000 0.000 0.000 0.050 0.400 0.625 0.900 0.900 1.000 1.000 0.480 0.451 0.455 0.527 0.473 0.545 0.549 0.520 0.371 0.522 0.584 0.501 0.499 0.416 0.478 0.629 0.210 0.449 0.393 0.604 0.396 0.607 0.551 0.790 
m2c370r2.htb 0.000 0.000 0.050 0.050 0.250 0.500 0.450 0.850 1.000 0.000 0.000 0.150 0.550 0.650 0.800 0.900 1.000 1.000 0.000 0.000 0.100 0.350 0.750 0.750 1.000 1.000 1.000 0.092 0.234 0.271 0.569 0.431 0.729 0.766 0.907 0.154 0.249 0.498 0.352 0.647 0.503 0.751 0.846 0.151 0.118 0.114 0.397 0.603 0.886 0.882 0.849 
m2c372r2.htb 0.000 0.000 0.133 0.200 0.467 0.533 0.867 0.933 0.967 0.033 0.000 0.233 0.167 0.433 0.467 0.867 0.967 1.000 0.000 0.000 0.167 0.533 0.800 0.533 1.000 1.000 1.000 0.433 0.418 0.481 0.428 0.572 0.519 0.582 0.567 0.159 0.353 0.396 0.466 0.534 0.604 0.647 0.841 0.179 0.231 0.437 0.477 0.523 0.563 0.769 0.821 
m2c374r2.htb 0.000 0.000 0.150 0.300 0.325 0.650 0.650 1.000 1.000 0.000 0.025 0.050 0.225 0.350 0.625 0.800 1.000 1.000 0.000 0.000 0.150 0.425 0.700 0.750 0.925 1.000 1.000 0.089 0.191 0.311 0.433 0.567 0.689 0.809 0.911 0.331 0.510 0.659 0.607 0.393 0.341 0.490 0.669 0.314 0.693 0.761 0.668 0.332 0.239 0.308 0.686 
m2c376r2.htb 0.000 0.000 0.080 0.160 0.480 0.520 0.640 0.960 1.000 0.000 0.000 0.280 0.560 0.480 0.600 0.880 1.000 1.000 0.000 0.000 0.160 0.400 0.800 0.840 0.960 1.000 1.000 0.470 0.478 0.541 0.448 0.552 0.459 0.522 0.530 0.301 0.416 0.499 0.522 0.478 0.501 0.584 0.699 0.303 0.430 0.374 0.518 0.482 0.626 0.570 0.697 
m2c378r2.htb 0.000 0.000 0.175 0.125 0.325 0.500 0.800 1.000 1.000 0.000 0.025 0.325 0.450 0.650 0.650 0.875 1.000 1.000 0.000 0.000 0.100 0.375 0.675 0.875 0.950 1.000 1.000 0.338 0.528 0.517 0.484 0.516 0.483 0.472 0.662 0.002 0.171 0.377 0.362 0.638 0.623 0.829 0.998 0.027 0.065 0.344 0.419 0.581 0.656 0.935 0.973 
m2c382r2.htb 0.000 0.022 0.130 0.239 0.391 0.652 0.957 0.978 1.000 0.000 0.000 0.196 0.543 0.587 0.804 0.935 0.978 1.000 0.000 0.000 0.043 0.348 0.630 0.826 1.000 1.000 1.000 0.503 0.386 0.536 0.493 0.507 0.464 0.614 0.497 0.038 0.361 0.394 0.451 0.549 0.606 0.639 0.962 0.054 0.445 0.469 0.471 0.529 0.531 0.555 0.946 
m2c384r2.htb 0.000 0.000 0.067 0.200 0.422 0.600 0.756 0.978 1.000 0.000 0.022 0.356 0.413 0.717 0.848 0.848 1.000 1.000 0.000 0.000 0.089 0.267 0.533 0.761 0.956 1.000 1.000 0.374 0.379 0.522 0.491 0.509 0.478 0.621 0.626 0.141 0.546 0.412 0.481 0.519 0.588 0.454 0.859 0.249 0.303 0.419 0.523 0.477 0.581 0.697 0.751 
m2c392r2.htb 0.000 0.000 0.115 0.231 0.346 0.692 0.846 1.000 1.000 0.000 0.000 0.231 0.462 0.500 0.615 0.885 1.000 1.000 0.000 0.038 0.192 0.423 0.538 0.808 0.923 1.000 1.000 0.067 0.177 0.434 0.447 0.553 0.566 0.823 0.933 0.182 0.345 0.494 0.402 0.598 0.506 0.655 0.818 0.079 0.359 0.228 0.416 0.584 0.772 0.641 0.921 
