FILE	 Wves_predicted	 Wves_actual	 coherence	 thresh_predicted	 thresh_actual_d0	 coherence	 thresh_actual_all	 thresh_actual_pm	 bias_delta0	 Wves_actual_minus	 Wves_actual_plus
m24c115r2.htb	0.025	-0.435	16	18.515	18.006	16	17.845	17.764	-7.378	-1.007	0.137
m24c115r2.htb	0.002	-0.168	60	5.606	6.595	60	5.957	5.638	-0.58	-0.234	-0.102
m24c118r2.htb	0.983	0.173	16	39.229	300	16	112.91	19.366	-59.311	-21.107	21.453
m24c118r2.htb	0.983	1.215	60	39.229	15.769	60	52.631	71.062	-3.597	-0.435	2.865
m24c119r2.htb	0.566	0.627	16	5.904	3.643	16	3.089	2.811	0.294	0.8	0.454
m24c119r2.htb	0.05	0.152	60	1.764	2.1	60	2.061	2.041	-0.044	0.041	0.263
m24c125r2.htb	0.724	0.319	16	104.35	38.759	16	49.65	55.096	-0.567	0.597	0.04
m24c125r2.htb	0.138	-0.147	60	45.55	31.391	60	26.121	23.487	3.038	0.065	-0.36
m18c101r2.htb	0.136	1.731	16	27.143	79.978	16	62.667	54.012	10.857	3.063	0.399
m18c101r2.htb	0.027	0.084	90	12.129	12.51	90	11.105	10.403	3.406	0.247	-0.078
m18c117r3.htb	0.594	-0.609	16	20.713	33.27	16	57.113	69.034	11.236	-4.069	2.852
m18c117r3.htb	0.661	0.02	90	21.849	19.163	90	19.404	19.524	1.156	0.258	-0.218
m18c119r3.htb	0.002	0.734	16	13.752	7.677	16	5.996	5.155	3.331	1.121	0.348
m18c119r3.htb	0	-0.459	90	2.703	5.882	90	6.492	6.798	-0.757	-0.341	-0.578
m18c121r2.htb	0.699	-1.464	16	39.381	39.644	16	38.048	37.251	-5.198	-1.353	-1.576
m18c121r2.htb	0.008	-0.16	90	4.123	8.34	90	7.159	6.569	-0.589	-0.087	-0.233
m18c127r2.htb	0.005	0.235	16	6.303	5.147	16	5.424	5.562	0.075	-0.071	0.542
m18c127r2.htb	0.001	-0.144	90	2.362	3.803	90	3.872	3.906	0.631	-0.363	0.075
m24c134r2.htb	0.998	1.131	16	8.647	15.696	16	12.543	10.966	0.416	1.221	1.041
m24c134r2.htb	0.998	1.522	60	8.646	32.542	60	28.852	27.007	9.135	0.493	2.552
m24c134r2.htb	0.967	0.984	16	9.138	16.345	16	11.611	9.245	-0.197	1.238	0.729
m24c134r2.htb	0.974	1.051	60	9.171	57.151	60	32.275	19.837	12.411	2.42	-0.318
m24c133r3.htb	0.43	0.641	16	17.109	19.038	16	17.456	16.665	9.626	0.868	0.414
m24c133r3.htb	0.054	-0.1	60	6.084	6.882	60	5.457	4.745	-0.867	-0.056	-0.144
m24c158r2.htb	0.71	0.808	16	14.905	13.729	16	14.136	14.339	0.837	0.77	0.845
m24c158r2.htb	0.224	0.333	60	8.38	10.462	60	7.816	6.493	1.657	0.51	0.157
