FILE	         CP	
m5c129r2.htb  NaN  NaN  NaN 0.374 0.548 0.686 0.618  NaN  NaN 0.374 0.648 
m5c135r2.htb  NaN  NaN  NaN  NaN  NaN 0.583 0.523  NaN  NaN  NaN 0.567 
m5c140r2.htb  NaN  NaN  NaN 0.543 0.623 0.467 0.585 0.460  NaN 0.488 0.543 
m5c152r2.htb  NaN  NaN  NaN 0.455 0.576 0.577 0.831  NaN  NaN 0.455 0.711 
m5c154r2.htb  NaN  NaN 0.676 0.652 0.732 0.564 0.688  NaN  NaN 0.665 0.630 
m5c156r2.htb  NaN  NaN 0.518 0.810 0.579 0.671 0.250  NaN  NaN 0.681 0.466 
m5c159r2.htb  NaN  NaN  NaN  NaN 0.489 0.601  NaN  NaN  NaN  NaN 0.601 
m5c163r2.htb  NaN  NaN  NaN 0.397 0.542 0.574 0.322  NaN  NaN 0.455 0.397 
m5c164r3.htb  NaN  NaN  NaN 0.587 0.651 0.571 0.570  NaN  NaN 0.600 0.587 
m5c166r2.htb  NaN  NaN  NaN 0.570 0.470 0.750 0.551  NaN  NaN 0.618 0.570 
m5c167r2.htb  NaN  NaN  NaN 0.405 0.431 0.677  NaN  NaN  NaN 0.677 0.405 
m5c170r2.htb  NaN  NaN 0.453 0.590 0.531 0.657 0.643  NaN  NaN 0.537 0.651 

m2c163r2.htb  NaN  NaN 0.444 0.520 0.510 0.380 0.382  NaN  NaN 0.388 0.488 
m14c0r255.htb  NaN  NaN 0.500 0.500 0.500 0.500 0.500 0.500  NaN 0.500 0.500 
m14c136r2.htb  NaN 0.323 0.225 0.293 0.166 0.272 0.177  NaN  NaN 0.246 0.318 
m14c136r2.htb  NaN 0.323 0.225 0.293 0.166 0.272 0.177  NaN  NaN 0.246 0.318 
m14c136r2.htb  NaN 0.323 0.225 0.293 0.166 0.272 0.177  NaN  NaN 0.246 0.318 
m14c136r2.htb  NaN 0.323 0.225 0.293 0.166 0.272 0.177  NaN  NaN 0.246 0.318 
m14c136r2.htb  NaN 0.323 0.225 0.293 0.166 0.272 0.177  NaN  NaN 0.246 0.318 
m14c144r2.htb 0.373 0.405 0.306 0.280 0.346 0.282 0.106 0.291  NaN 0.375 0.204 
m14c145r2.htb  NaN 0.249 0.392 0.420 0.395 0.248 0.382 0.382  NaN 0.330 0.364 
m14c180r2.htb  NaN  NaN 0.327 0.291 0.364 0.233 0.353  NaN  NaN 0.313 0.295 
m14c3r2.htb  NaN  NaN 0.460 0.672 0.884 0.702 0.773 0.727 0.760 0.667  NaN 0.737 0.601 
m14c12r2.htb 0.620 0.578 0.653 0.710 0.746 0.748 0.715 0.664  NaN 0.712 0.634 
m5c0r101.htb  NaN 0.606 0.514 0.440 0.476 0.384 0.569 0.510 0.532 0.690 0.392 0.568 0.461 0.487 
m44c8r4.htb  NaN  NaN  NaN 0.335 0.359 0.464  NaN  NaN  NaN 0.335 0.464 
