FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m5c103r2.htb 11.000 7.386 2.593 1.514 1.663 2.328 1.288 16.866 8.903 300.000 105.372 17.975 10.032 
m5c107r2.htb 40.000 2.609 2.165 2.776 2.788 1.949 2.199 106.215 300.000 300.000 300.000 111.191 300.000 
m5c108r3.htb 23.000 2.804 4.517 3.396 3.572 1.039 1.954 300.000 300.000 300.000 102.113 189.750 62.439 
m5c109r2.htb 34.000 1.911 4.262 3.121 3.699 2.257 2.013 82.788 59.788 300.000 300.000 58.029 81.023 
m5c111r2.htb 20.000 6.118 2.888 4.831 1.279 1.487 1.823 77.825 300.000 37.479 38.573 72.483 93.359 
m5c118r2.htb 39.000 1.892 3.020 2.717 2.518 1.476 1.847 27.274 19.013 300.000 62.228 21.604 31.964 
m5c125r2.htb 45.000 2.387 3.368 3.237 2.468 2.425 1.453 17.607 17.506 20.048 22.058 63.113 48.254 
m5c128r2.htb 30.000 3.210 3.729 5.235 4.930 4.442 2.031 300.000 79.878 23.238 19.346 21.173 41.743 
m5c129r2.htb 33.000 3.578 3.011 3.486 2.415 1.877 1.482 10.922 15.972 17.080 16.357 39.531 59.713 
m5c135r2.htb 16.000 3.041 2.522 1.872 2.262 1.354 2.277 15.500 21.586 300.000 300.000 33.287 28.306 
m5c140r2.htb 32.000 2.789 4.203 3.094 2.410 2.851 1.986 211.358 62.939 33.763 57.353 129.483 166.842 
m5c152r2.htb 23.000 3.368 3.022 3.464 3.211 2.949 2.363 45.180 105.661 96.858 60.945 300.000 96.706 
m5c154r2.htb 40.000 3.000 4.471 3.837 5.144 2.019 1.968 49.410 37.138 21.375 44.393 28.309 34.457 
m5c156r2.htb 21.000 6.538 2.240 3.430 2.642 1.469 2.131 45.150 57.990 74.281 139.366 300.000 168.215 
m5c159r2.htb 20.000 2.871 3.641 1.658 2.801 2.935 3.448 300.000 54.261 69.785 73.816 300.000 26.116 
m5c163r2.htb 27.000 3.233 3.826 3.573 3.618 2.112 2.235 300.000 45.814 17.046 21.856 300.000 133.770 
m5c164r3.htb 20.000 2.963 3.249 3.990 2.811 2.651 3.124 20.863 16.951 11.207 11.763 81.231 300.000 
m5c166r2.htb 24.000 2.533 4.150 3.609 1.736 2.315 1.741 295.641 132.851 121.705 100.215 55.423 28.537 
m5c167r2.htb 20.000 1.849 2.713 1.625 2.245 1.661 1.650 41.327 29.923 38.635 43.968 300.000 242.284 
m5c170r2.htb 45.000 3.080 3.006 3.060 4.160 1.812 2.433 7.797 11.975 24.248 26.857 25.019 37.470 
m5c222r5.htb 20.000 3.928 2.747 4.418 4.262 1.300 1.927 21.493 32.919 64.321 41.510 26.183 30.959 
