FILE	        ThreshVeMU	, ThreshViMU	,ThreshComMU	,CorrcoefVeSUMU	,CorrcoefViSUMU	,CorrcoefComSUMU	,noiseVe	,noiseVi	,noiseCom	
m5c135r2.htb	 0.491	 -0.276	 0.180	 0.473	 0.130	 -0.706	 0.739	 0.033	 
m5c140r2.htb	 -0.073	 -0.849	 0.851	 0.004	 0.224	 0.720	 0.562	 0.029	 
m5c152r2.htb	 -0.685	 -0.653	 0.042	 0.056	 -0.502	 0.190	 0.168	 0.625	 
m5c154r2.htb	 -0.605	 -0.848	 0.084	 0.004	 0.487	 -0.537	 0.184	 0.136	 
m5c156r2.htb	 0.638	 0.394	 0.065	 0.294	 0.042	 0.520	 0.915	 0.151	 
m5c159r2.htb	 -0.585	 -0.460	 0.098	 0.213	 0.029	 -0.573	 0.941	 0.107	 
m5c163r2.htb	 -0.171	 -0.926	 0.659	 0.000	 0.221	 -0.513	 0.567	 0.158	 
m5c166r2.htb	 0.166	 0.712	 0.669	 0.031	 0.251	 0.069	 0.515	 0.859	 
m5c167r2.htb	 0.843	 -0.614	 0.004	 0.078	 -0.412	 -0.332	 0.271	 0.382	 
m5c170r2.htb	 -0.730	 0.975	 0.025	 0.000	 -0.295	 0.144	 0.440	 0.712	 
m5c222r5.htb	 -0.813	 -0.983	 0.008	 0.000	 0.623	 -0.058	 0.073	 0.881	 
