FILE	 azimuth	 stim_type	 delta	 coherence	 bias	 bias_lower	 bias_upper	 thresh	 thresh_lower	 thresh_upper	 pct_correct	 num_reps	 norm_rev
m18c0r151.htb	90.000	3.000	-2.000	70.000	-0.234	-0.980	0.485	0.853	0.259	1.893	0.936	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	0.000	25.000	-2.866	-3.951	-2.180	1.622	0.971	 NaN	0.769	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	0.000	70.000	-1.893	-2.763	-1.325	0.886	0.349	 NaN	0.833	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	2.000	25.000	-2.838	-4.387	-1.843	2.132	1.102	4.755	0.744	13.000	AllTrials	
m18c0r151.htb	90.000	3.000	2.000	70.000	-2.153	-3.137	-1.503	1.507	0.889	 NaN	0.821	13.000	AllTrials	
m18c0r152.htb	90.000	1.000	0.000	25.000	-0.386	-2.384	1.075	4.222	2.409	9.457	0.708	8.000	AllTrials	
m18c0r152.htb	90.000	2.000	0.000	25.000	1.817	0.920	2.833	1.491	0.703	4.396	0.823	8.000	AllTrials	
m18c0r152.htb	90.000	2.000	0.000	70.000	0.582	0.080	1.152	0.985	0.601	 NaN	0.873	8.000	AllTrials	
m18c0r152.htb	90.000	3.000	-2.000	25.000	-2.590	-4.317	-1.638	2.471	1.573	 NaN	0.643	8.000	AllTrials	
m18c0r152.htb	90.000	3.000	-2.000	70.000	-0.028	-0.631	0.418	0.887	0.169	1.983	0.857	8.000	AllTrials	
m18c0r152.htb	90.000	3.000	0.000	25.000	-3.541	-6.541	-2.211	2.632	0.651	5.571	0.619	8.000	AllTrials	
m18c0r152.htb	90.000	3.000	0.000	70.000	-1.558	-2.442	-1.079	0.902	0.231	 NaN	0.744	8.000	AllTrials	
m18c0r152.htb	90.000	3.000	2.000	25.000	-3.027	-4.460	-2.266	1.685	0.134	3.384	0.619	8.000	AllTrials	
m18c0r152.htb	90.000	3.000	2.000	70.000	-1.538	-2.800	-1.103	0.877	0.286	 NaN	0.746	8.000	AllTrials	
m18c0r152.htb	90.000	1.000	0.000	25.000	-0.263	-2.110	0.879	3.660	2.097	7.420	0.738	9.000	AllTrials	
m18c0r152.htb	90.000	2.000	0.000	25.000	1.529	0.538	2.435	1.561	0.779	3.980	0.824	9.000	AllTrials	
m18c0r152.htb	90.000	2.000	0.000	70.000	0.888	0.210	1.606	1.345	0.731	 NaN	0.857	9.000	AllTrials	
m18c0r152.htb	90.000	3.000	-2.000	25.000	-2.703	-4.450	-1.763	2.422	1.619	 NaN	0.646	9.000	AllTrials	
m18c0r152.htb	90.000	3.000	-2.000	70.000	0.029	-0.451	0.570	0.853	0.210	2.047	0.871	9.000	AllTrials	
m18c0r152.htb	90.000	3.000	0.000	25.000	-3.741	-6.499	-2.523	2.843	1.556	 NaN	0.629	9.000	AllTrials	
m18c0r152.htb	90.000	3.000	0.000	70.000	-1.600	-2.720	-1.118	0.835	0.263	 NaN	0.743	9.000	AllTrials	
m18c0r152.htb	90.000	3.000	2.000	25.000	-2.853	-4.209	-1.985	1.955	0.377	3.607	0.614	9.000	AllTrials	
m18c0r152.htb	90.000	3.000	2.000	70.000	-1.318	-2.331	-0.904	1.030	0.509	 NaN	0.771	9.000	AllTrials	
m24c0r229.htb	90.000	1.000	0.000	15.000	-2.409	-4.188	-1.589	3.011	2.115	 NaN	0.664	15.000	AllTrials	
