FILE	         theshold	 CP	 Rfiring	 Rdfttrial	 Rdftmean	 phase	 ratio	
m5c15r2.htb 8.702 13.867 0.443 0.459 0.286 0.274 0.942 -0.876 0.000 0.002 
m5c25r2.htb 127.563 34.441 0.517 0.520 0.690 0.686 -0.434 -0.795 0.243 0.011 
m5c29r2.htb 216.178 300.000 0.503 0.499 0.950 0.936 0.067 0.019 0.865 0.961 
m5c30r2.htb 92.679 59.931 0.573 0.564 0.336 0.336 0.288 -0.367 0.452 0.331 
m5c35r2.htb 64.050 51.637 0.502 0.571 0.970 0.978 0.318 0.523 0.404 0.148 
m5c37r2.htb 19.544 22.276 0.660 0.628 0.004 0.010 -0.903 -0.949 0.001 0.000 
m5c38r2.htb 71.640 31.611 0.409 0.451 0.034 0.038 0.595 -0.874 0.091 0.002 
m5c40r2.htb 11.436 9.924 0.504 0.561 0.968 0.964 0.968 0.971 0.000 0.000 
m5c42r2.htb 10.088 15.029 0.543 0.543 0.656 0.700 0.905 0.812 0.001 0.008 
m5c46r2.htb 50.745 60.434 0.430 0.427 0.044 0.044 -0.753 0.536 0.019 0.137 
m5c49r2.htb 37.601 38.949 0.462 0.578 0.486 0.464 -0.777 0.588 0.014 0.096 
m5c54r2.htb 66.950 102.097 0.538 0.472 0.470 0.466 0.710 0.570 0.032 0.109 
m5c60r2.htb 6.503 54.346 0.588 0.462 0.072 0.078 0.846 0.287 0.004 0.455 
m5c63r2.htb 20.092 16.813 0.374 0.210 0.106 0.116 -0.867 -0.923 0.002 0.000 
m5c66r2.htb 4.756 5.096 0.581 0.605 0.080 0.080 -0.977 -0.957 0.000 0.000 
m5c67r2.htb 37.914 12.089 0.618 0.695 0.050 0.044 0.807 0.951 0.009 0.000 
m5c69r2.htb 4.110 4.153 0.493 0.495 0.868 0.884 -0.884 0.849 0.002 0.004 
m5c70r2.htb 19.833 31.490 0.631 0.621 0.000 0.000 -0.968 0.876 0.000 0.002 
m5c71r2.htb 13.663 13.889 0.533 0.523 0.478 0.436 0.979 -0.942 0.000 0.000 
m5c74r2.htb 19.081 5.645 0.542 0.447 0.348 0.378 -0.823 -0.989 0.006 0.000 
m5c75r2.htb 7.537 13.486 0.546 0.537 0.416 0.332 0.904 -0.814 0.001 0.008 
m5c79r2.htb 58.966 80.500 0.504 0.470 1.004 0.948 -0.628 -0.451 0.070 0.223 
m5c81r2.htb 16.351 11.170 0.527 0.466 0.548 0.598 0.883 0.941 0.002 0.000 
m5c82r2.htb 19.049 25.085 0.498 0.451 0.966 1.006 0.590 0.629 0.094 0.070 
m5c83r2.htb 21.267 16.389 0.526 0.494 0.650 0.652 0.516 0.658 0.155 0.054 
m5c87r2.htb 12.933 15.710 0.462 0.444 0.572 0.544 -0.686 0.594 0.041 0.092 
m5c92r2.htb 28.698 25.457 0.559 0.553 0.408 0.386 -0.689 -0.642 0.040 0.063 
m5c94r2.htb 85.161 33.706 0.536 0.490 0.622 0.628 0.455 -0.759 0.219 0.018 
m5c95r2.htb 19.962 84.130 0.452 0.397 0.380 0.372 0.801 -0.374 0.010 0.321 
m5c100r2.htb 18.038 18.170 0.536 0.540 0.462 0.526 0.902 -0.934 0.001 0.000 
m5c103r2.htb 2.027 4.188 0.607 0.547 0.362 0.390 0.981 -0.957 0.000 0.000 
m5c107r2.htb 92.168 122.443 0.470 0.466 0.534 0.592 -0.335 -0.444 0.378 0.231 
m5c108r3.htb 66.692 199.857 0.558 0.401 0.278 0.318 -0.345 -0.281 0.363 0.465 
m5c109r2.htb 14.700 14.963 0.459 0.536 0.384 0.388 0.921 -0.901 0.000 0.001 
m5c111r2.htb 300.000 300.000 0.361 0.384 0.032 0.038 0.000 -0.078 0.999 0.841 
m5c118r2.htb 16.690 32.214 0.572 0.567 0.092 0.074 -0.805 0.713 0.009 0.031 
m5c125r2.htb 13.626 20.207 0.558 0.450 0.174 0.200 -0.914 -0.966 0.001 0.000 
m5c128r2.htb 62.697 71.773 0.498 0.474 0.984 0.960 0.452 -0.290 0.222 0.449 
m5c129r2.htb 8.845 8.113 0.538 0.569 0.496 0.494 -0.956 0.960 0.000 0.000 
m5c135r2.htb 7.801 13.501 0.494 0.625 0.976 0.962 -0.899 -0.791 0.001 0.011 
m5c140r2.htb 13.167 7.457 0.535 0.543 0.388 0.392 0.858 0.917 0.003 0.000 
m5c152r2.htb 15.448 8.940 0.568 0.559 0.284 0.258 -0.950 -0.928 0.000 0.000 
m5c154r2.htb 149.573 19.736 0.423 0.447 0.074 0.060 0.292 -0.727 0.446 0.027 
m5c156r2.htb 22.307 22.767 0.541 0.462 0.460 0.452 -0.669 -0.727 0.049 0.026 
m5c159r2.htb 33.098 300.000 0.664 0.393 0.094 0.068 -0.558 -0.026 0.119 0.948 
m5c163r2.htb 3.941 9.075 0.436 0.497 0.262 0.254 0.971 -0.878 0.000 0.002 
m5c164r3.htb 165.995 16.108 0.321 0.459 0.008 0.008 -0.188 0.751 0.629 0.020 
m5c166r2.htb 39.690 13.906 0.533 0.527 0.586 0.590 0.583 0.856 0.099 0.003 
m5c167r2.htb 15.980 22.724 0.584 0.581 0.266 0.246 0.910 -0.884 0.001 0.002 
m5c170r2.htb 3.173 6.630 0.586 0.586 0.032 0.012 -0.977 0.932 0.000 0.000 
m2c185r2.htb 2.017 3.947 0.549 0.423 0.162 0.176 0.991 0.986 0.000 0.000 
m14c1r2.htb 26.850 300.000  NaN  NaN  NaN  NaN -0.370 0.001 0.213 0.996 
