FILE	        ThreshVeMU	, ThreshViMU	,ThreshComMU	,CorrcoefVeSUMU	,CorrcoefViSUMU	,CorrcoefComSUMU	,noiseVe	,noiseVi	,noiseCom	
m2c409r2.htb	 300.000	 36.586	 300.000	 0.717	 -0.195	 -0.166	 0.152	 0.021	 0.004	 
m2c417r2.htb	 60.256	 35.726	 43.487	 -0.063	 0.028	 -0.571	 0.005	 -0.000	 0.031	 
m2c423r2.htb	 53.947	 16.888	 21.566	 0.052	 -0.230	 -0.213	 0.060	 0.097	 0.018	 
m2c427r2.htb	 118.236	 5.352	 5.521	 -0.377	 0.843	 0.664	 0.472	 0.276	 0.448	 
m2c429r2.htb	 56.086	 116.633	 193.398	 0.784	 0.456	 0.825	 0.278	 0.265	 0.314	 
m2c436r2.htb	 10.862	 8.762	 8.172	 0.958	 0.974	 0.963	 -0.028	 0.150	 -0.156	 
m2c441r2.htb	 20.462	 6.731	 6.849	 0.824	 0.968	 0.937	 -0.281	 0.115	 -0.153	 
m2c443r2.htb	 21.782	 23.994	 32.558	 -0.481	 0.863	 0.841	 0.197	 0.404	 0.280	 
m2c445r2.htb	 8.515	 5.750	 5.877	 -0.467	 0.936	 -0.040	 -0.012	 0.134	 -0.113	 
m2c450r2.htb	 41.043	 4.792	 18.515	 -0.227	 0.955	 0.310	 0.358	 0.174	 0.285	 
m5c25r2.htb	 78.004	 26.016	 26.482	 0.921	 0.830	 0.918	 0.139	 0.422	 0.418	 
m5c29r2.htb	 99.304	 300.000	 33.706	 0.646	 0.948	 0.384	 0.488	 0.422	 0.431	 
m5c30r2.htb	 56.036	 145.356	 192.234	 0.125	 -0.333	 -0.013	 0.451	 0.368	 0.406	 
m5c35r2.htb	 300.000	 142.689	 300.000	 0.288	 0.120	 0.292	 0.150	 0.040	 0.311	 
m5c37r2.htb	 20.212	 61.564	 17.286	 0.276	 0.593	 0.139	 -0.039	 -0.540	 -0.042	 
m5c40r2.htb	 71.090	 12.965	 32.888	 0.695	 0.943	 0.364	 0.452	 0.454	 0.386	 
m5c42r2.htb	 69.188	 46.654	 106.842	 -0.169	 0.349	 0.177	 0.195	 -0.033	 0.320	 
m5c46r2.htb	 300.000	 263.043	 300.000	 -0.120	 0.565	 0.122	 0.287	 0.300	 0.449	 
m5c49r2.htb	 76.695	 300.000	 300.000	 0.930	 0.988	 0.705	 0.708	 0.663	 0.668	 
m5c54r2.htb	 300.000	 29.885	 17.794	 -0.415	 0.907	 0.911	 0.325	 0.444	 0.287	 
m5c60r2.htb	 35.686	 19.846	 31.779	 0.194	 0.872	 0.986	 0.062	 -0.004	 0.175	 
m5c63r2.htb	 68.902	 13.549	 7.930	 -0.135	 0.897	 0.600	 0.308	 0.181	 0.320	 
m5c66r2.htb	 20.714	 20.641	 12.731	 0.935	 0.865	 0.935	 -0.165	 0.005	 -0.143	 
m5c69r2.htb	 11.092	 10.231	 20.549	 0.997	 0.988	 0.926	 0.364	 0.302	 0.307	 
m5c70r2.htb	 31.397	 112.573	 180.205	 0.943	 0.456	 0.795	 0.581	 0.352	 0.643	 
m5c71r2.htb	 77.754	 31.960	 24.054	 0.374	 0.953	 0.953	 0.229	 0.286	 0.282	 
m5c75r2.htb	 300.000	 20.987	 37.223	 0.346	 0.991	 0.774	 0.133	 0.133	 0.154	 
m5c79r2.htb	 49.714	 124.356	 65.834	 0.036	 0.608	 0.194	 0.089	 0.199	 0.120	 
m5c81r2.htb	 38.088	 40.869	 27.000	 -0.610	 0.800	 0.877	 0.228	 0.168	 0.154	 
m5c82r2.htb	 76.917	 11.768	 15.826	 0.784	 0.789	 -0.621	 -0.065	 0.044	 -0.072	 
m5c83r2.htb	 19.262	 31.206	 27.468	 0.249	 -0.743	 0.149	 0.081	 0.049	 0.116	 
m5c87r2.htb	 300.000	 142.689	 74.050	 0.356	 -0.344	 -0.236	 0.282	 0.275	 0.289	 
