FILE 10_bias 20_bias 30_bias 10_thresh 20_thresh 30_thresh 11_bias 21_bias 31_bias 11_thresh 21_thresh 31_thresh 1_shift_p 2_shift_p 3_shift_p 1_slope_p 2_slope_p 3_slope_p	
m5c445r3.htb -0.485 0.963 0.372 1.111 2.085 0.862 -0.578 0.778 0.334 1.806 1.816 0.946 0.553 0.852 0.192 0.072 0.568 0.586 
m5c453r3.htb -0.211 1.341 0.844 2.125 1.506 1.235 -0.354 2.319 0.543 1.485 2.008 0.928 0.447 0.211 0.647 0.183 0.265 0.537 
m5c457r3.htb -0.401 0.652 0.390 2.940 2.174 1.591 -0.450 0.702 0.671 2.194 1.629 1.453 0.658 0.855 0.046 0.333 0.642 0.014 
m5c463r3.htb 0.251 0.621 0.669 1.654 2.455 1.332 0.619 1.496 1.046 1.156 2.568 1.348 0.111 0.044 0.143 0.524 0.897 0.658 
m5c467r3.htb 1.041 -0.048 0.661 1.752 3.196 1.484 1.663 0.440 0.680 2.525 2.004 1.212 0.716 0.099 0.394 0.162 0.109 0.290 
m5c471r3.htb 0.957 -0.607 0.444 2.030 1.914 0.689 1.027 -0.979 0.536 1.954 1.614 1.310 0.723 0.081 0.319 0.876 0.548 0.743 
m5c475r3.htb 0.662 -0.584 0.049 2.056 2.429 0.918 0.750 -0.046 0.775 1.823 1.979 1.096 0.601 0.137 0.060 0.764 0.443 0.093 
m5c479r3.htb 0.638 -0.495 0.202 1.732 1.722 1.848 0.591 -0.512 0.148 1.376 1.883 1.489 0.735 0.970 0.972 0.362 0.768 0.396 
m5c482r3.htb 0.707 -0.392 0.459 1.945 2.507 1.083 0.787 -0.353 0.501 2.377 2.671 1.333 0.862 0.906 0.775 0.474 0.863 0.928 
m5c486r3.htb -0.175 -1.292 -0.673 1.514 2.120 1.545 0.877 0.862 0.253 2.271 2.075 1.745 0.002 0.000 0.000 0.181 0.915 0.645 
m5c490r3.htb -0.259 -1.157 -0.477 1.974 2.478 1.205 0.228 0.756 -0.183 1.827 1.903 1.282 0.089 0.000 0.132 0.751 0.508 0.748 
m5c494r3.htb 0.126 -0.396 -0.436 1.426 1.527 1.325 -0.105 0.099 -0.205 2.029 1.490 0.706 0.399 0.055 0.811 0.177 0.972 0.030 
m5c498r3.htb 0.387 0.133 -0.579 1.895 1.969 0.896 0.051 0.076 -0.822 1.866 1.471 1.088 0.292 0.929 0.657 0.972 0.362 0.125 
m5c504r3.htb -0.339 -0.812 -0.722 1.803 1.890 1.604 0.396 -0.197 -0.035 1.920 1.771 1.547 0.009 0.037 0.004 0.777 0.736 0.981 
m5c508r3.htb -0.080 -0.410 -0.046 1.234 1.930 0.818 -0.135 0.662 -0.183 1.767 2.125 1.699 0.816 0.001 0.803 0.297 0.672 0.197 
m5c513r3.htb -0.123 -1.026 0.337 2.213 1.623 2.061 0.012 -1.476 -0.301 1.980 2.623 1.472 0.230 0.759 0.007 0.009 0.038 0.368 
m5c518r3.htb 0.234 -0.559 0.757 1.475 1.957 1.925 0.080 -0.689 0.326 1.679 1.968 1.103 0.596 0.647 0.126 0.437 0.999 0.540 
m5c522r3.htb -0.626 -0.687 -0.282 1.808 1.789 1.176 -0.474 0.000 0.118 1.376 1.640 1.097 0.927 0.024 0.036 0.305 0.757 0.830 
m5c526r3.htb -0.939 -0.809 -0.002 2.064 2.327 1.339 -0.804 2.040 0.707 1.445 2.241 1.405 0.782 0.000 0.002 0.214 0.870 0.940 
m5c531r3.htb -0.532 0.553 0.217 1.405 2.179 1.039 -0.488 1.165 0.444 1.818 1.331 1.053 0.523 0.001 0.182 0.341 0.049 0.997 
m5c536r3.htb -0.042 -0.752 0.904 1.725 1.905 1.198 0.222 -0.030 0.595 1.705 1.950 0.882 0.366 0.025 0.583 0.884 0.938 0.290 
m5c540r3.htb -1.042 -1.465 -0.313 1.659 1.722 1.645 -0.769 -0.741 0.038 1.517 1.718 0.837 0.543 0.019 0.317 0.697 0.999 0.223 
m5c544r3.htb -0.426 -1.391 -0.244 1.539 1.624 1.540 -0.850 -1.464 -0.127 1.443 2.339 1.414 0.113 0.181 0.469 0.012 0.134 0.940 
m5c548r3.htb 0.713 -0.994 0.103 1.749 1.748 0.915 0.706 -0.839 0.523 2.152 2.726 1.880 0.620 0.148 0.476 0.412 0.111 0.075 
m5c552r3.htb 0.286 -1.700 0.116 2.063 2.074 1.238 0.342 -1.563 -0.016 2.162 1.691 1.130 0.988 0.538 0.488 0.862 0.392 0.816 
m5c556r3.htb 0.205 -0.483 -0.141 1.094 1.367 1.484 0.727 -0.628 -0.000 1.930 1.818 1.289 0.106 0.890 0.537 0.103 0.230 0.539 
m5c561r3.htb 0.103 -0.471 -0.197 0.999 2.068 1.278 0.055 -0.508 -0.232 1.522 1.787 0.961 0.250 0.764 0.401 0.001 0.572 0.691 
m5c565r3.htb 0.298 0.123 0.018 1.757 2.314 1.620 0.483 -0.526 0.229 1.328 1.975 1.673 0.289 0.038 0.434 0.247 0.547 0.883 
m5c568r3.htb -0.261 0.155 -0.361 1.200 1.685 1.218 0.093 0.192 -0.179 1.526 1.875 0.803 0.099 0.958 0.657 0.364 0.748 0.141 
m5c574r3.htb 0.504 0.191 0.156 1.900 1.553 0.596 0.622 -1.180 -0.298 1.418 2.774 0.809 0.305 0.001 0.002 0.287 0.066 0.298 
m5c578r3.htb 0.537 1.277 -0.008 1.673 2.090 1.394 0.279 0.129 0.133 1.947 2.501 1.091 0.264 0.000 0.813 0.490 0.350 0.959 
m5c583r3.htb -0.512 0.746 -0.207 1.482 1.815 1.011 -0.314 0.004 -0.173 2.114 2.100 1.206 0.259 0.016 0.523 0.170 0.528 0.258 
m5c588r3.htb -0.429 0.041 -0.481 1.567 2.065 1.350 -0.769 0.841 -0.355 1.778 1.750 0.881 0.357 0.007 0.713 0.610 0.581 0.422 
m5c593r3.htb 0.483 0.411 0.045 1.198 1.640 0.795 0.160 0.364 0.154 1.704 1.539 1.211 0.224 0.423 0.651 0.543 0.709 0.145 
m5c598r3.htb -0.423 -0.974 -0.054 1.503 1.730 1.480 -0.292 -0.582 -0.104 1.537 1.306 1.017 0.567 0.271 0.598 0.824 0.572 0.178 
m5c602r3.htb -0.099 -0.471 0.266 1.481 1.796 1.484 0.150 0.082 0.404 2.265 0.939 1.059 0.462 0.050 0.230 0.121 0.038 0.168 
m5c608r3.htb -0.090 0.022 0.274 1.434 2.223 1.500 0.170 -0.111 0.055 1.865 2.404 0.969 0.358 0.744 0.916 0.325 0.777 0.859 
m5c608r4.htb -0.088 0.965 -0.618 1.762 0.064 0.249 
m5c614r3.htb 0.251 -0.235 0.343 1.548 2.406 0.984 -0.037 -1.427 0.417 1.447 1.709 1.325 0.298 0.001 0.998 0.787 0.755 0.214 
m5c614r4.htb -0.623 1.251 -0.489 0.610 0.113 0.341 
m5c623r3.htb -0.051 1.067 0.872 1.134 1.663 1.113 -0.261 0.489 0.531 1.620 2.018 0.980 0.326 0.075 0.753 0.505 0.778 0.168 
m5c623r4.htb -0.179 0.966 -0.413 1.034 0.491 0.275 
