FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m2c214r2.htb 26.000 0.000 0.000 0.192 0.462 0.654 0.654 1.000 1.000 1.000 0.108 0.274 0.325 0.348 0.652 0.675 0.726 0.892 
m2c220r2.htb 20.000 0.000 0.000 0.150 0.350 0.500 0.750 0.800 1.000 1.000 0.351 0.406 0.607 0.310 0.690 0.393 0.594 0.649 
m2c221r2.htb 28.000 0.036 0.036 0.143 0.321 0.357 0.571 0.857 0.964 1.000 0.193 0.431 0.334 0.343 0.657 0.666 0.569 0.807 
m2c223r2.htb 36.000 0.000 0.000 0.139 0.611 0.750 0.750 0.917 0.972 1.000 0.257 0.411 0.434 0.412 0.588 0.566 0.589 0.743 
m2c226r2.htb 35.000 0.000 0.000 0.200 0.257 0.429 0.686 0.829 1.000 1.000 0.029 0.169 0.326 0.469 0.531 0.674 0.831 0.971 
m2c231r2.htb 31.000 0.000 0.000 0.097 0.290 0.419 0.742 0.774 1.000 1.000 0.303 0.367 0.368 0.401 0.599 0.632 0.633 0.697 
m2c233r2.htb 27.000 0.000 0.000 0.074 0.296 0.407 0.667 0.926 1.000 1.000 0.464 0.466 0.381 0.481 0.519 0.619 0.534 0.536 
m2c236r2.htb 40.000 0.000 0.000 0.075 0.200 0.200 0.675 0.800 1.000 1.000 0.206 0.230 0.332 0.343 0.657 0.668 0.770 0.794 
m2c237r2.htb 44.000 0.000 0.022 0.156 0.422 0.644 0.578 0.978 1.000 1.000 0.330 0.452 0.319 0.524 0.476 0.681 0.548 0.670 
m2c240r2.htb 37.000 0.000 0.000 0.054 0.189 0.324 0.622 0.737 1.000 1.000 0.438 0.417 0.424 0.474 0.526 0.576 0.583 0.562 
m2c241r2.htb 20.000 0.000 0.000 0.050 0.400 0.300 0.650 0.800 1.000 1.000 0.404 0.496 0.524 0.632 0.368 0.476 0.504 0.596 
m2c242r2.htb 25.000 0.000 0.000 0.080 0.200 0.360 0.680 0.880 1.000 1.000 0.008 0.181 0.454 0.498 0.502 0.546 0.819 0.992 
m2c244r2.htb 18.000 0.000 0.056 0.222 0.389 0.333 0.611 0.944 0.944 1.000 0.423 0.285 0.594 0.471 0.529 0.406 0.715 0.577 
m2c247r2.htb 18.000 0.000 0.056 0.167 0.278 0.333 0.556 0.667 1.000 1.000 0.427 0.270 0.329 0.691 0.309 0.671 0.730 0.573 
m2c252r2.htb 36.000 0.000 0.000 0.054 0.189 0.389 0.351 0.703 1.000 1.000 0.282 0.241 0.437 0.520 0.480 0.563 0.759 0.718 
m2c254r2.htb 50.000 0.000 0.000 0.040 0.220 0.360 0.560 0.900 1.000 1.000 0.021 0.213 0.289 0.322 0.678 0.711 0.787 0.979 
m2c258r2.htb 41.000 0.000 0.000 0.098 0.317 0.561 0.732 0.854 1.000 1.000 0.461 0.529 0.507 0.517 0.483 0.493 0.471 0.539 
m2c260r2.htb 34.000 0.000 0.000 0.235 0.559 0.618 0.824 0.912 1.000 1.000 0.342 0.487 0.325 0.513 0.487 0.675 0.513 0.658 
m2c262r2.htb 42.000 0.000 0.000 0.143 0.357 0.488 0.651 0.881 1.000 1.000 0.390 0.482 0.553 0.646 0.354 0.447 0.518 0.610 
m2c364r2.htb 35.000 0.000 0.000 0.171 0.286 0.286 0.686 0.943 0.971 1.000 0.366 0.536 0.493 0.698 0.302 0.507 0.464 0.634 
m2c365r2.htb 31.000 0.000 0.000 0.065 0.323 0.406 0.387 0.781 1.000 1.000 0.372 0.415 0.588 0.477 0.523 0.412 0.585 0.628 
m2c368r2.htb 37.000 0.000 0.000 0.081 0.184 0.351 0.378 0.649 1.000 1.000 0.401 0.449 0.493 0.443 0.557 0.507 0.551 0.599 
m2c369r2.htb 40.000 0.000 0.000 0.000 0.075 0.300 0.375 0.700 0.975 1.000 0.480 0.451 0.455 0.527 0.473 0.545 0.549 0.520 
m2c370r2.htb 20.000 0.000 0.000 0.050 0.050 0.250 0.500 0.450 0.850 1.000 0.092 0.234 0.271 0.569 0.431 0.729 0.766 0.907 
m2c372r2.htb 30.000 0.000 0.000 0.133 0.200 0.467 0.533 0.867 0.933 0.967 0.433 0.418 0.481 0.428 0.572 0.519 0.582 0.567 
m2c374r2.htb 40.000 0.000 0.000 0.150 0.300 0.325 0.650 0.650 1.000 1.000 0.089 0.191 0.311 0.433 0.567 0.689 0.809 0.911 
m2c376r2.htb 25.000 0.000 0.000 0.080 0.160 0.480 0.520 0.640 0.960 1.000 0.470 0.478 0.541 0.448 0.552 0.459 0.522 0.530 
m2c378r2.htb 40.000 0.000 0.000 0.175 0.125 0.325 0.500 0.800 1.000 1.000 0.338 0.528 0.517 0.484 0.516 0.483 0.472 0.662 
m2c382r2.htb 46.000 0.000 0.022 0.130 0.239 0.391 0.652 0.957 0.978 1.000 0.503 0.386 0.536 0.493 0.507 0.464 0.614 0.497 
m2c384r2.htb 45.000 0.000 0.000 0.067 0.200 0.422 0.600 0.756 0.978 1.000 0.374 0.379 0.522 0.491 0.509 0.478 0.621 0.626 
m2c392r2.htb 26.000 0.000 0.000 0.115 0.231 0.346 0.692 0.846 1.000 1.000 0.067 0.177 0.434 0.447 0.553 0.566 0.823 0.933 
m2c403r2.htb 33.000 0.000 0.000 0.152 0.273 0.515 0.606 0.853 0.939 1.000 0.218 0.274 0.259 0.440 0.560 0.741 0.726 0.782 
m2c409r2.htb 17.000 0.000 0.000 0.235 0.471 0.529 0.706 0.824 1.000 1.000 0.286 0.389 0.567 0.375 0.625 0.433 0.611 0.714 
m2c417r2.htb 21.000 0.045 0.000 0.190 0.364 0.500 0.619 0.955 1.000 1.000 0.479 0.343 0.357 0.485 0.515 0.643 0.657 0.521 
m2c423r2.htb 46.000 0.000 0.022 0.196 0.565 0.696 0.717 0.957 1.000 1.000 0.403 0.378 0.462 0.551 0.449 0.538 0.622 0.597 
m2c427r2.htb 30.000 0.000 0.033 0.267 0.333 0.600 0.767 0.800 1.000 1.000 0.381 0.244 0.419 0.379 0.621 0.581 0.756 0.619 
m2c429r2.htb 27.000 0.000 0.000 0.111 0.444 0.481 0.778 0.852 1.000 1.000 0.130 0.383 0.398 0.517 0.483 0.602 0.617 0.870 
m2c436r2.htb 45.000 0.000 0.000 0.222 0.444 0.378 0.622 0.689 1.000 1.000 0.067 0.134 0.262 0.488 0.512 0.738 0.866 0.933 
m2c441r2.htb 40.000 0.000 0.000 0.100 0.250 0.450 0.500 0.825 0.975 0.975 0.005 0.063 0.201 0.342 0.658 0.799 0.937 0.995 
m2c443r2.htb 40.000 0.000 0.000 0.175 0.450 0.625 0.750 0.825 1.000 1.000 0.485 0.478 0.463 0.518 0.482 0.537 0.522 0.515 
m2c445r2.htb 23.000 0.000 0.043 0.304 0.609 0.696 0.652 0.913 1.000 1.000 0.159 0.231 0.313 0.513 0.487 0.687 0.769 0.841 
m2c450r2.htb 21.000 0.000 0.000 0.143 0.238 0.476 0.381 0.905 1.000 1.000 0.246 0.405 0.372 0.512 0.488 0.628 0.595 0.754 
m5c4r2.htb 29.000 0.000 0.000 0.067 0.310 0.241 0.276 0.552 0.833 1.000 0.244 0.276 0.430 0.509 0.491 0.570 0.724 0.756 
m5c6r2.htb 38.000 0.000 0.051 0.184 0.237 0.395 0.395 0.487 0.974 1.000 0.408 0.375 0.492 0.544 0.456 0.508 0.625 0.592 
m5c7r2.htb 26.000 0.000 0.000 0.269 0.308 0.423 0.731 0.692 1.000 1.000 0.267 0.351 0.373 0.300 0.700 0.627 0.649 0.733 
m5c8r2.htb 15.000 0.000 0.000 0.200 0.400 0.533 0.467 0.467 0.933 1.000 0.000 0.138 0.300 0.562 0.438 0.700 0.862 1.000 
m5c13r2.htb 30.000 0.000 0.133 0.300 0.500 0.567 0.733 0.833 1.000 1.000 0.200 0.247 0.406 0.438 0.562 0.594 0.753 0.800 
m5c14r2.htb 33.000 0.000 0.030 0.273 0.364 0.333 0.576 0.788 1.000 1.000 0.287 0.439 0.461 0.461 0.539 0.539 0.561 0.713 
m5c15r2.htb 25.000 0.000 0.040 0.360 0.360 0.480 0.680 0.800 1.000 1.000 0.078 0.277 0.488 0.622 0.378 0.512 0.723 0.922 
m5c25r2.htb 45.000 0.000 0.067 0.289 0.511 0.644 0.756 0.889 1.000 1.000 0.359 0.363 0.494 0.503 0.497 0.506 0.637 0.641 
m5c29r2.htb 50.000 0.000 0.020 0.180 0.300 0.500 0.540 0.780 0.960 1.000 0.473 0.505 0.488 0.475 0.525 0.512 0.495 0.527 
m5c30r2.htb 15.000 0.000 0.267 0.333 0.667 0.600 0.800 0.867 1.000 1.000 0.284 0.278 0.433 0.540 0.460 0.567 0.722 0.716 
m5c35r2.htb 27.000 0.000 0.071 0.296 0.464 0.556 0.571 0.852 0.963 1.000 0.313 0.299 0.481 0.506 0.494 0.519 0.701 0.687 
m5c37r2.htb 40.000 0.000 0.050 0.025 0.125 0.100 0.075 0.225 0.400 1.000 0.300 0.351 0.490 0.418 0.582 0.510 0.649 0.700 
m5c38r2.htb 30.000 0.000 0.032 0.200 0.200 0.267 0.333 0.548 0.839 1.000 0.434 0.396 0.565 0.511 0.489 0.435 0.604 0.566 
m5c40r2.htb 40.000 0.000 0.050 0.225 0.425 0.525 0.625 0.750 0.975 1.000 0.209 0.459 0.470 0.532 0.468 0.530 0.541 0.791 
m5c42r2.htb 12.000 0.000 0.308 0.417 0.583 0.750 0.917 1.000 1.000 1.000 0.095 0.186 0.667 0.649 0.351 0.333 0.814 0.905 
m5c46r2.htb 50.000 0.000 0.040 0.120 0.240 0.420 0.400 0.760 0.900 0.980 0.439 0.419 0.505 0.383 0.617 0.495 0.581 0.561 
m5c49r2.htb 35.000 0.000 0.000 0.057 0.314 0.371 0.486 0.714 0.971 1.000 0.393 0.385 0.507 0.466 0.534 0.493 0.615 0.607 
m5c54r2.htb 26.000 0.000 0.000 0.185 0.231 0.333 0.462 0.778 1.000 1.000 0.440 0.516 0.361 0.475 0.525 0.639 0.484 0.560 
m5c60r2.htb 34.000 0.000 0.000 0.206 0.265 0.529 0.500 0.971 1.000 1.000 0.079 0.205 0.333 0.408 0.592 0.667 0.795 0.921 
m5c63r2.htb 16.000 0.000 0.125 0.313 0.688 0.688 0.938 0.938 1.000 1.000 0.113 0.199 0.240 0.373 0.627 0.760 0.801 0.887 
m5c66r2.htb 37.000 0.000 0.053 0.216 0.676 0.595 0.811 0.946 1.000 1.000 0.049 0.077 0.336 0.474 0.526 0.664 0.923 0.951 
m5c67r2.htb 40.000 0.000 0.075 0.561 0.732 0.900 0.975 0.927 1.000 1.000 0.443 0.529 0.496 0.495 0.505 0.504 0.471 0.557 
m5c69r2.htb 40.000 0.000 0.075 0.250 0.375 0.475 0.625 0.975 0.975 1.000 0.028 0.107 0.297 0.503 0.497 0.703 0.893 0.972 
m5c70r2.htb 50.000 0.000 0.020 0.100 0.280 0.400 0.500 0.700 1.000 1.000 0.149 0.330 0.492 0.463 0.537 0.508 0.670 0.851 
m5c71r2.htb 50.000 0.000 0.000 0.000 0.020 0.080 0.240 0.500 0.840 1.000 0.170 0.289 0.463 0.437 0.563 0.537 0.711 0.830 
m5c74r2.htb 38.000 0.000 0.000 0.000 0.105 0.184 0.289 0.763 1.000 1.000 0.388 0.387 0.398 0.452 0.548 0.602 0.613 0.612 
m5c75r2.htb 35.000 0.000 0.000 0.000 0.200 0.257 0.257 0.543 0.943 1.000 0.004 0.145 0.327 0.468 0.532 0.673 0.855 0.996 
m5c79r2.htb 34.000 0.000 0.000 0.294 0.471 0.500 0.794 0.912 1.000 1.000 0.363 0.529 0.477 0.413 0.587 0.523 0.471 0.637 
m5c81r2.htb 29.000 0.000 0.034 0.310 0.448 0.379 0.690 0.759 1.000 1.000 0.266 0.340 0.388 0.401 0.599 0.612 0.660 0.734 
m5c82r2.htb 20.000 0.000 0.000 0.100 0.400 0.250 0.400 0.850 1.000 1.000 0.343 0.269 0.298 0.453 0.548 0.703 0.731 0.657 
m5c83r2.htb 24.000 0.000 0.000 0.083 0.250 0.292 0.542 0.667 1.000 1.000 0.338 0.335 0.438 0.527 0.473 0.562 0.665 0.662 
