FILE	         Coher	 repet	 Ve_P_u	 Vi_P_u	 co_P_u	 Ve_P_thr	 vi_P_th	 Co_P_thr	 Ve_N_u	 Vi_N_u	 co_N_u	 Ve_N_thr	 vi_N_th	 Co_N_thr	 Ves_CP	 Vis_CP	 Com_CP	 Ves_p	 Vis_p	 Com_p	 sign	 vesMax	 visMax	 coMax	
m5c87r2.htb 0.417 0.547 0.676 0.548 0.298 0.408 0.520 0.407 0.426 0.556 0.685 0.557 
m5c92r2.htb 0.495 0.615 0.733 0.616 0.382 0.514 0.644 0.514 0.302 0.454 0.600 0.451 
m5c94r2.htb 0.346 0.490 0.638 0.490 0.445 0.573 0.697 0.575 0.231 0.368 0.512 0.369 
m5c95r2.htb 0.445 0.553 0.663 0.553 0.465 0.569 0.678 0.570 0.447 0.562 0.671 0.562 
m5c100r2.htb 0.408 0.514 0.626 0.517 0.437 0.542 0.644 0.543 0.352 0.455 0.559 0.455 
m5c103r2.htb 0.350 0.598 0.838 0.604 0.377 0.635 0.865 0.634 0.167 0.567 0.900 0.572 
m5c107r2.htb 0.423 0.518 0.610 0.519 0.382 0.461 0.544 0.463 0.405 0.492 0.583 0.492 
m5c108r3.htb 0.410 0.519 0.623 0.519 0.320 0.431 0.537 0.429 0.321 0.458 0.593 0.458 
m5c109r2.htb 0.302 0.398 0.489 0.395 0.415 0.503 0.596 0.504 0.371 0.467 0.567 0.467 
m5c111r2.htb 0.388 0.511 0.638 0.511 0.457 0.587 0.709 0.585 0.319 0.469 0.619 0.471 
m5c118r2.htb 0.456 0.535 0.616 0.535 0.384 0.477 0.568 0.476 0.394 0.487 0.577 0.487 
m5c125r2.htb 0.417 0.503 0.590 0.504 0.264 0.355 0.452 0.355 0.474 0.559 0.643 0.559 
m5c128r2.htb 0.389 0.484 0.573 0.482 0.456 0.549 0.640 0.549 0.357 0.459 0.564 0.459 
m5c129r2.htb 0.469 0.573 0.678 0.572 0.326 0.428 0.530 0.427 0.395 0.493 0.591 0.492 
m5c135r2.htb 0.365 0.567 0.764 0.566 0.419 0.609 0.804 0.613 0.285 0.494 0.703 0.496 
m5c140r2.htb 0.446 0.539 0.631 0.539 0.519 0.608 0.691 0.606 0.392 0.492 0.595 0.492 
m5c152r2.htb 0.497 0.616 0.732 0.616 0.322 0.424 0.530 0.424 0.473 0.590 0.702 0.588 
m5c154r2.htb 0.572 0.647 0.721 0.646 0.590 0.668 0.743 0.668 0.487 0.571 0.653 0.572 
m5c156r2.htb 0.458 0.565 0.674 0.565 0.323 0.447 0.575 0.448 0.269 0.410 0.554 0.410 
m5c159r2.htb 0.389 0.578 0.755 0.579 0.331 0.462 0.590 0.462 0.310 0.491 0.675 0.491 
m5c163r2.htb 0.351 0.455 0.562 0.455 0.411 0.511 0.610 0.511 0.415 0.534 0.639 0.531 
m5c164r3.htb 0.465 0.597 0.722 0.598 0.346 0.478 0.611 0.478 0.284 0.418 0.545 0.415 
m5c166r2.htb 0.454 0.572 0.687 0.572 0.481 0.617 0.747 0.617 0.399 0.519 0.634 0.517 
m5c167r2.htb 0.368 0.512 0.662 0.513 0.366 0.523 0.682 0.523 0.329 0.480 0.634 0.479 
m5c170r2.htb 0.491 0.566 0.639 0.566 0.444 0.539 0.631 0.539 0.418 0.503 0.587 0.502 
m5c222r5.htb 0.424 0.540 0.655 0.540 0.534 0.645 0.749 0.644 0.458 0.649 0.827 0.650 
