FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c241r1.htb 14.455 15.446 13.663 11.287 11.881 18.416 19.010 15.842 28.119 27.129 25.941 2.983 1.015 2.175 2.129 1.736 0.414 1.443 2.338 2.258 2.169 3.960 1.980 5.545 8.515 10.891 7.327 4.158 2.970 5.545 4.950 0.926 0.495 1.291 2.175 2.269 1.426 1.182 1.213 1.140 1.443 
m2c242r1.htb 40.792 36.040 40.198 55.842 63.960 64.752 68.911 62.178 48.713 33.267 29.703 3.332 1.701 3.614 4.106 4.665 4.572 3.235 1.930 1.936 5.121 36.436 40.990 60.198 93.663 98.416 89.703 69.703 51.485 32.079 32.475 2.916 3.458 1.799 4.136 4.324 4.352 3.731 4.761 1.771 2.141 
m2c244r1.htb 7.756 27.723 24.010 23.267 29.950 21.535 20.545 16.089 23.515 23.515 20.792 5.716 4.814 3.974 3.745 3.998 2.158 2.208 0.547 1.770 1.235 27.970 21.287 19.802 20.792 17.574 20.050 15.594 23.267 42.079 29.208 0.719 3.250 2.839 2.139 2.158 1.503 1.268 3.863 2.661 3.317 
m2c247r1.htb 23.102 20.462 20.462 21.782 27.228 31.188 25.578 26.568 24.422 19.142 25.083 3.063 2.234 2.292 3.026 4.046 1.887 2.008 1.829 1.625 0.871 9.076 15.512 15.017 48.350 81.353 61.386 38.284 23.432 12.376 5.611 1.690 2.824 1.619 5.052 9.699 2.627 3.403 1.499 1.276 1.304 
m2c252r1.htb 13.465 3.762 7.921 7.129 11.485 10.099 13.465 13.069 19.010 6.733 6.535 1.962 2.991 2.410 2.490 2.652 1.805 3.273 3.401 1.073 1.140 43.168 44.356 46.931 52.079 17.030 3.564 2.970 2.376 3.366 20.792 3.258 1.073 2.539 4.995 2.359 0.664 1.356 0.664 1.085 4.259 
m2c254r1.htb 4.158 9.109 9.505 8.713 7.327 5.347 2.772 2.574 2.574 5.545 9.703 1.281 1.426 1.832 1.192 1.085 0.886 0.828 0.899 2.610 2.558 17.624 17.822 14.257 4.158 3.564 4.752 4.950 5.545 6.733 8.911 2.787 1.885 1.664 1.460 1.027 0.952 0.857 1.291 0.952 2.071 
m2c258r1.htb 8.911 30.363 36.436 28.713 29.901 25.908 23.102 12.706 25.149 38.218 21.287 6.272 3.575 3.016 4.574 7.543 4.141 2.085 3.293 4.956 1.831 7.723 12.079 10.726 12.706 24.092 42.739 35.314 34.653 14.059 14.851 1.146 4.638 3.400 2.969 2.879 4.813 3.775 5.468 1.863 2.077 
m2c260r1.htb 10.693 16.832 19.554 20.396 17.426 13.861 12.871 17.327 15.446 20.297 16.832 3.208 1.478 1.383 2.440 1.143 1.715 0.948 1.736 2.195 1.917 21.782 16.832 22.525 16.584 23.762 30.693 33.861 32.673 23.267 25.743 2.524 1.213 2.897 4.755 2.322 3.105 2.743 2.756 2.442 1.667 
m2c262r1.htb 1.132 17.162 13.201 13.036 7.426 11.551 7.921 7.426 14.686 17.327 27.228 2.500 1.913 2.333 1.809 2.753 2.715 1.306 1.866 1.245 5.421 8.251 10.396 14.026 20.297 12.871 15.017 11.056 12.706 12.871 8.416 1.210 1.527 1.908 1.146 1.559 1.928 0.812 1.100 3.960 1.213 
m2c364r1.htb 12.211 11.089 10.297 10.297 15.050 14.653 13.267 11.881 14.059 10.099 6.337 1.832 2.285 1.469 0.734 1.619 1.999 1.949 2.675 2.141 0.664 9.307 24.752 32.277 51.287 68.713 51.683 18.812 15.446 13.861 8.713 3.162 2.778 3.780 2.629 3.458 2.197 2.643 1.904 1.819 2.582 
