FILE	 Spon	 VesPref	 VisPref	 VesP	 VisP	 VesDDI	 VisDDI	 Congruency
m13c30r1.htb	 13.663	 208.675	 184.669	 0.000	 0.000	 2.146	 4.216	 0.783	 
m13c30r1.htb	 2.178	 30.651	 186.850	 0.000	 0.005	 -3.705	 2.727	 -0.427	 
m13c30r1.htb	 7.921	 183.738	 173.926	 0.078	 0.004	 0.611	 2.341	 0.273	 
m13c30r1.htb	 8.119	 214.210	 188.342	 0.225	 0.000	 0.826	 2.062	 0.687	 
m13c30r1.htb	 13.663	 208.675	 184.669	 0.000	 0.000	 2.146	 4.216	 0.783	 
m13c30r1.htb	 13.861	 191.285	 185.640	 0.037	 0.000	 0.871	 2.708	 0.532	 
m13c30r1.htb	 4.356	 19.778	 182.748	 0.003	 0.000	 -2.804	 4.490	 -0.376	 
m13c30r1.htb	 23.960	 34.925	 172.946	 0.003	 0.000	 -1.242	 4.296	 -0.171	 
m13c59r1.htb	 41.980	 349.590	 355.032	 0.032	 0.000	 -1.921	 -4.715	 0.272	 
m13c59r2.htb	 35.050	 348.085	 9.139	 0.119	 0.000	 -3.946	 -5.167	 0.735	 
m13c63r1.htb	 89.109	 143.139	 17.029	 0.039	 0.000	 0.601	 -4.320	 -0.079	 
m13c63r2.htb	 89.901	 6.367	 11.717	 0.214	 0.088	 -1.842	 -0.720	 0.814	 
m5c753r1.htb	 51.683	 233.285	 184.969	 0.004	 0.000	 0.141	 8.267	 0.398	 
m5c163r1.htb	 17.822	 324.359	 168.370	 0.001	 0.000	 -2.739	 5.005	 -0.578	 
m11c101r1.htb	 40.133	 234.307	 0.212	 0.603	 
m11c101r1.htb	 40.133	 256.166	 0.172	 0.958	 
m11c101r1.htb	 40.133	 227.332	 0.430	 0.902	 
m11c101r1.htb	 40.133	 226.664	 0.335	 0.585	 
m11c101r1.htb	 40.133	 227.211	 0.845	 0.509	 
m11c101r1.htb	 40.133	 227.211	 0.845	 0.509	 
m11c101r1.htb	 40.133	 210.496	 0.081	 1.222	 
m11c101r1.htb	 40.133	 227.426	 0.141	 1.417	 
m11c101r1.htb	 40.133	 227.426	 0.141	 1.417	 
m11c101r1.htb	 40.133	 235.780	 0.167	 0.902	 
m11c101r1.htb	 40.133	 246.223	 0.361	 0.958	 
m11c101r1.htb	 40.133	 246.223	 0.361	 0.958	 
m11c101r1.htb	 40.133	 254.846	 NaN	 1.340	 
m11c101r1.htb	 40.133	 227.426	 0.141	 1.417	 
m11c101r1.htb	 40.133	 210.496	 0.081	 1.222	 
m11c101r1.htb	 40.133	 226.664	 0.335	 0.585	 
m11c101r1.htb	 36.964	 240.365	 0.038	 0.840	 
m11c103r1.htb	 11.244	 339.435	 0.436	 -0.379	 
m11c103r1.htb	 11.485	 341.947	 0.002	 -0.990	 
m11c201r1.htb	 19.204	 44.937	 0.686	 0.061	 
m11c201r1.htb	 20.198	 86.265	 0.031	 0.255	 
m13c91r1.htb	 130.099	 315.409	 188.947	 0.030	 0.000	 -0.287	 6.779	 -0.203	 
m13c91r2.htb	 145.149	 194.065	 281.996	 0.000	 0.000	 2.699	 0.990	 0.251	 
m13c94r1.htb	 60.198	 142.662	 344.037	 0.263	 0.001	 0.279	 -0.792	 -0.259	 
m13c94r2.htb	 44.950	 330.360	 339.945	 0.003	 0.409	 0.186	 0.032	 0.657	 
m13c99r1.htb	 100.198	 229.972	 354.935	 0.255	 0.000	 0.764	 -6.205	 -0.323	 
m13c99r2.htb	 111.089	 356.756	 354.629	 0.000	 0.000	 -3.320	 -0.713	 0.743	 
m13c102r1.htb	 45.149	 249.342	 131.799	 0.985	 0.037	 0.118	 0.650	 0.207	 
m13c102r2.htb	 50.693	 18.249	 178.199	 0.015	 0.265	 -1.946	 0.822	 -0.364	 
m13c105r1.htb	 80.990	 209.039	 1.556	 0.001	 0.000	 0.638	 -5.821	 -0.486	 
m13c105r2.htb	 73.861	 3.870	 307.454	 0.000	 0.000	 -4.971	 -0.433	 0.644	 
m13c108r1.htb	 72.079	 233.882	 340.676	 0.196	 0.000	 0.759	 -4.756	 -0.157	 
m13c108r2.htb	 65.347	 337.154	 264.503	 0.002	 0.032	 -0.674	 -0.682	 0.626	 
m13c108r4.htb	 63.168	 249.325	 0.087	 1.842	 
m13c111r1.htb	 91.287	 221.124	 191.499	 0.000	 0.000	 3.292	 4.289	 0.752	 
m13c111r2.htb	 84.653	 190.102	 207.671	 0.000	 0.000	 0.420	 6.081	 0.797	 
m11c102r1.htb	 27.079	 162.182	 0.083	 0.000	 
m11c102r1.htb	 27.327	 142.275	 0.008	 -0.285	 
m11c102r1.htb	 27.327	 142.275	 0.008	 -0.285	 
m11c105r1.htb	 59.208	 314.531	 0.629	 -0.218	 
m11c105r2.htb	 25.495	 255.066	 0.980	 -0.027	 
m11c201r1.htb	 20.198	 86.265	 0.031	 0.255	 
m11c202r1.htb	 29.505	 24.312	 0.178	 -0.601	 
m11c202r1.htb	 29.505	 25.103	 0.273	 -0.585	 
m11c202r1.htb	 29.505	 24.312	 0.178	 -0.601	 
m11c203r1.htb	 26.139	 3.062	 0.003	 -0.615	 
m11c114r1.htb	 24.158	 335.653	 0.003	 -0.055	 
m11c102r1	 27.327	 142.275	 0.008	 -0.285	 
