FILE	         Spon	 HTIve	 HTIvi	 VesP	         VisP	  VesPre	   VisPre	   VesSlo	    VisSlo      minVes      minVis     maxVes       maxVis
m2c159r1.htb	 25.35	    0.70	   0.62	   0.00	   0.00	   343.53	    359.04	   78.75	    56.25	    20.79	    9.50	   63.76	    31.49	    
m2c160r1.htb	 30.30	    0.13	   0.03	   0.03	   0.53	   352.16	    277.46	   247.50	    123.75	    44.36	    47.92	   58.42	    56.63	    
m2c161r1.htb	 32.08	    0.73	   0.71	   0.00	   0.00	   178.77	    137.42	   101.25	    247.50	    16.83	    17.43	   45.74	    43.37	    
m2c162r1.htb	 15.64	    0.60	   0.71	   0.00	   0.00	   231.37	    215.66	   123.75	    292.50	    13.37	    11.88	   39.60	    45.30	    
m2c163r1.htb	 9.31	    0.26	   0.49	   0.00	   0.00	   266.67	    339.29	   123.75	    78.75	    8.66	    8.66	   22.28	    36.88	    
m2c166r1.htb	 23.37	    0.24	   0.82	   0.55	   0.00	   93.99	    97.22	   292.50	    78.75	    15.10	    16.09	   29.21	    44.31	    
m2c168r1.htb	 1.73	    0.18	   0.50	   0.02	   0.00	   159.98	    62.07	   78.75	    123.75	    4.70	    1.24	   12.38	    61.63	    
m2c169r1.htb	 12.87	    0.80	   0.70	   0.00	   0.00	   224.49	    217.66	   292.50	    292.50	    7.18	    11.14	   33.42	    40.59	    
m2c170r1.htb	 23.76	    0.27	   0.65	   0.17	   0.00	   187.34	    19.80	   78.75	    78.75	    24.26	    2.97	   42.33	    37.43	    
m2c171r1.htb	 22.57	    0.67	   0.75	   0.00	   0.00	   193.34	    22.43	   123.75	    101.25	    18.56	    10.15	   62.13	    45.35	    
m2c172r1.htb	 8.66	    0.69	   0.33	   0.00	   0.00	   346.91	    139.92	   247.50	    101.25	    2.64	    9.65	   20.46	    23.02	    
m2c173r1.htb	 28.22	    0.26	   0.69	   0.21	   0.00	   97.11	    174.48	   56.25	    101.25	    20.54	    7.92	   40.59	    54.79	    
m2c174r1.htb	 11.09	    0.77	   0.75	   0.00	   0.00	   157.13	    156.85	   78.75	    78.75	    3.96	    3.96	   21.53	    26.98	    
m2c175r1.htb	 4.95	    0.24	   0.62	   0.01	   0.00	   151.26	    20.06	   292.50	    56.25	    7.92	    2.72	   24.26	    15.59	    
m2c176r1.htb	 7.13	    0.39	   0.65	   0.01	   0.00	   30.51	    97.23	   56.25	    56.25	    9.70	    6.34	   28.51	    27.13	    
m2c177r1.htb	 7.10	    0.65	   0.30	   0.00	   0.05	   53.63	    101.35	   56.25	    56.25	    2.57	    1.98	   15.45	    11.09	    
m2c178r1.htb	 19.60	    0.10	   0.45	   0.01	   0.00	   108.47	    141.69	   292.50	    56.25	    23.76	    14.11	   40.59	    66.09	    
m2c179r1.htb	 11.88	    0.78	   0.24	   0.00	   0.04	   33.64	    12.33	   123.75	    101.25	    5.54	    3.17	   33.86	    15.25	    
m2c180r1.htb	 17.33	    0.15	   0.42	   0.07	   0.00	   286.64	    338.34	   56.25	    78.75	    16.63	    20.63	   25.35	    41.98	    
m2c181r1.htb	 18.02	    0.69	   0.56	   0.00	   0.00	   112.09	    218.88	   202.50	    123.75	    5.54	    12.48	   62.97	    29.11	    
m2c182r1.htb	 10.23	    0.68	   0.83	   0.00	   0.00	   46.56	    251.35	   123.75	    292.50	    5.15	    4.16	   21.39	    44.95	    
m2c183r1.htb	 25.15	    0.52	   0.47	   0.00	   0.02	   201.80	    304.07	   247.50	    101.25	    25.94	    14.85	   64.75	    29.70	    
m2c184r1.htb	 25.74	    0.72	   0.22	   0.00	   0.00	   179.88	    315.75	   247.50	    78.75	    17.62	    31.49	   60.20	    61.58	    
m2c185r1.htb	 20.59	    0.54	   0.42	   0.00	   0.00	   10.42	    53.40	   78.75	    78.75	    23.96	    1.39	   76.63	    26.73	    
m2c186r1.htb	 22.18	    0.55	   0.05	   0.00	   0.39	   355.02	    161.39	   247.50	    101.25	    19.80	    5.94	   26.93	    11.09	    
m2c187r1.htb	 7.92	    0.12	   0.29	   0.01	   0.00	   78.70	    72.81	   78.75	    157.50	    16.83	    14.85	   26.53	    36.04	    
m2c189r1.htb	 7.72	    0.36	   0.13	   0.00	   0.00	   258.87	    349.58	   292.50	    123.75	    10.69	    8.91	   34.85	    29.90	    
m2c190r1.htb	 7.13	    0.67	   0.78	   0.01	   0.00	   328.11	    153.58	   56.25	    101.25	    2.57	    4.16	   10.30	    48.71	    
m2c191r1.htb	 21.78	    0.64	   0.13	   0.00	   0.00	   312.07	    105.76	   101.25	    56.25	    12.08	    46.14	   25.94	    77.82	    
m2c193r1.htb	 22.57	    0.18	   0.56	   0.00	   0.00	   233.78	    212.94	   56.25	    101.25	    35.64	    15.45	   60.00	    86.53	    
m2c195r1.htb	 1.73	    0.55	   0.19	   0.00	   0.00	   255.51	    287.19	   292.50	    247.50	    0.33	    2.48	   39.27	    21.78	    
m2c196r1.htb	 18.42	    0.53	   0.73	   0.00	   0.00	   15.25	    23.65	   101.25	    101.25	    18.56	    5.69	   45.54	    84.90	    
m2c197r1.htb	 13.37	    0.32	   0.73	   0.05	   0.00	   36.18	    29.32	   101.25	    101.25	    13.86	    2.57	   21.19	    94.06	    
m2c198r1.htb	 5.15	    0.44	   0.18	   0.00	   0.00	   25.45	    215.80	   78.75	    157.50	    6.44	    11.39	   29.21	    26.98	    
m2c199r1.htb	 32.87	    0.61	   0.85	   0.00	   0.00	   102.76	    80.74	   22.50	    78.75	    29.31	    20.79	   53.27	    68.71	    
m2c200r1.htb	 6.93	    0.78	   0.79	   0.00	   0.00	   25.54	    23.30	   56.25	    78.75	    2.77	    1.19	   19.80	    71.29	    
m2c202r1.htb	 29.70	    0.29	   0.38	   0.00	   0.00	   125.60	    83.18	   101.25	    78.75	    10.89	    4.16	   32.28	    58.81	    
m2c214r1.htb	 14.85	    0.46	   0.73	   0.00	   0.00	   156.98	    156.57	   101.25	    78.75	    10.30	    9.50	   28.71	    65.74	    
m2c220r1.htb	 4.36	    0.32	   0.74	   0.01	   0.00	   12.83	    172.93	   56.25	    101.25	    5.15	    2.57	   15.25	    31.68	    
m2c221r1.htb	 12.67	    0.49	   0.80	   0.00	   0.00	   16.36	    234.52	   101.25	    292.50	    16.63	    4.16	   52.87	    39.21	    
m2c223r1.htb	 5.66	    0.19	   0.70	   0.00	   0.00	   5.65	    208.43	   56.25	    123.75	    11.55	    0.66	   28.88	    62.05	    
m2c226r1.htb	 16.83	    0.47	   0.79	   0.00	   0.00	   352.21	    349.22	   56.25	    292.50	    19.21	    5.94	   49.31	    49.50	    
m2c231r1.htb	 34.85	    0.67	   0.71	   0.00	   0.00	   305.06	    192.26	   22.50	    101.25	    26.93	    2.97	   48.71	    93.27	    
m2c232r1.htb	 6.60	    0.10	   0.85	   0.50	   0.00	   335.97	    272.64	   78.75	    247.50	    7.33	    0.79	   11.49	    45.35	    
m2c233r1.htb	 23.17	    0.48	   0.81	   0.00	   0.00	   251.78	    256.11	   78.75	    292.50	    21.29	    8.42	   36.88	    133.91	    
m2c234r1.htb	 0.79	    0.25	   0.96	   0.49	   0.00	   68.25	    92.19	   78.75	    78.75	    1.58	    0.00	   5.54	    58.81	    
m2c235r1.htb	 6.93	    0.27	   0.73	   0.62	   0.00	   24.37	    128.45	   56.25	    78.75	    7.13	    6.14	   14.46	    117.82	    
m2c236r1.htb	 8.20	    0.27	   0.30	   0.01	   0.00	   179.99	    208.17	   56.25	    101.25	    15.18	    25.25	   35.15	    91.58	    
m2c237r1.htb	 22.49	    0.47	   0.80	   0.01	   0.00	   147.96	    111.38	   78.75	    78.75	    21.95	    20.63	   36.80	    118.65	    
m2c240r1.htb	 25.35	    0.29	   0.18	   0.00	   0.06	   96.26	    33.94	   202.50	    101.25	    36.04	    8.91	   63.37	    19.41	    
m2c241r1.htb	 14.46	    0.64	   0.06	   0.00	   0.00	   259.34	    123.13	   101.25	    123.75	    11.29	    1.98	   28.12	    10.89	    
m2c242r1.htb	 40.79	    0.76	   0.76	   0.00	   0.00	   138.82	    130.62	   56.25	    78.75	    29.70	    32.08	   68.91	    98.42	    
m2c244r1.htb	 7.76	    0.09	   0.27	   0.13	   0.00	   6.91	    300.99	   101.25	    247.50	    18.02	    14.26	   26.73	    42.57	    
m2c243r1.htb	 6.73	    0.07	   0.69	   0.14	   0.00	   7.47	    42.79	   337.50	    101.25	    9.65	    3.47	   20.79	    55.94	    
m2c247r1.htb	 23.10	    0.48	   0.79	   0.01	   0.00	   148.67	    136.76	   123.75	    78.75	    19.14	    5.61	   31.19	    81.35	    
m2c246r1.htb	 24.75	    0.30	   0.73	   0.55	   0.00	   55.71	    17.86	   101.25	    101.25	    20.40	    5.15	   30.89	    79.80	    
m2c251r1.htb	 2.18	    0.12	   0.71	   0.50	   0.00	   41.25	    183.40	   56.25	    101.25	    4.21	    1.73	   9.65	    69.31	    
m2c252r1.htb	 13.47	    0.60	   0.71	   0.01	   0.00	   175.30	    38.90	   247.50	    101.25	    3.76	    2.38	   19.01	    52.08	    
m2c254r1.htb	 4.16	    0.66	   0.66	   0.00	   0.00	   6.23	    7.43	   123.75	    78.75	    2.57	    3.56	   9.70	    17.82	    
