FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c157r1.htb 27.723 174.906 161.174 0.000 0.000 7.921 7.673 20.297 29.208 42.822 64.604 63.168 52.970 23.515 11.634 2.839 1.268 4.679 1.896 1.503 4.722 4.651 3.446 2.351 2.442 21.040 18.812 27.723 70.297 99.802 99.505 73.020 66.584 44.307 20.050 3.280 5.134 4.378 6.139 5.987 15.845 3.378 3.313 2.158 0.857 
m2c158r1.htb 24.752 150.918 164.532 0.000 0.000 10.891 16.040 32.277 72.277 82.178 87.327 92.079 52.277 12.475 6.931 2.425 6.737 5.586 6.975 4.259 2.460 3.553 5.777 3.665 2.500 2.970 10.693 13.069 32.871 63.762 65.941 56.040 41.980 19.208 8.713 0.857 2.359 2.743 1.962 3.631 3.614 3.698 1.192 2.857 1.073 
m2c159r1.htb 25.347 343.530 359.044 0.000 0.000 63.762 46.337 48.317 26.931 20.792 26.139 22.970 28.119 39.802 58.020 2.230 2.197 5.883 4.702 3.302 2.747 1.073 2.835 5.005 0.965 31.485 28.317 19.406 15.446 17.030 15.050 11.089 9.505 18.020 31.287 1.502 2.465 1.510 1.510 2.197 4.406 1.542 1.192 1.328 1.736 
m2c160r1.htb 30.297 352.165 277.458 0.034 0.529 58.416 51.287 52.475 53.267 49.505 48.119 44.356 45.743 56.040 54.059 2.908 3.560 0.783 2.558 1.604 1.383 1.619 4.118 4.367 2.899 51.287 53.069 56.634 52.277 52.475 47.921 55.842 53.069 51.881 55.248 2.698 2.814 1.898 2.023 3.412 2.563 3.387 2.465 3.003 3.711 
m2c161r1.htb 32.079 178.773 137.419 0.000 0.000 16.832 22.772 25.545 26.535 43.168 41.782 45.743 40.990 28.515 19.010 4.372 4.112 3.060 1.502 4.464 4.133 5.138 3.023 3.019 4.420 29.307 32.871 35.050 37.228 43.366 41.188 41.980 39.802 17.426 19.406 4.652 3.997 1.510 4.704 1.832 3.614 3.511 2.605 3.494 6.069 
m2c162r1.htb 15.644 231.369 215.664 0.000 0.000 18.317 16.832 15.842 15.594 13.366 21.040 32.079 39.604 32.921 23.515 2.310 3.555 2.334 2.208 0.990 1.574 3.198 1.143 2.736 2.442 11.881 15.594 17.079 15.347 18.564 28.218 39.851 45.297 43.317 16.832 1.320 2.001 1.429 2.113 1.889 1.512 2.397 2.929 0.857 2.238 
m2c163r1.htb 9.307 266.665 339.288 0.002 0.000 22.277 13.861 10.149 8.663 9.406 15.842 21.535 19.802 19.307 19.307 5.572 2.287 2.614 0.976 2.357 2.599 1.946 0.933 2.113 0.990 34.653 30.941 21.287 11.139 8.663 14.356 12.624 15.099 25.000 36.881 2.334 0.719 2.661 2.966 2.486 0.990 1.268 0.719 1.268 1.268 
m2c168r1.htb 1.733 159.983 62.072 0.020 0.000 4.703 9.653 5.941 11.139 10.891 12.376 10.396 10.644 10.891 6.188 1.268 5.608 1.548 1.707 1.044 1.361 2.008 2.107 2.470 2.351 32.921 35.149 40.594 61.634 46.535 12.624 5.941 17.574 1.238 11.881 2.107 0.572 3.061 4.052 1.548 3.345 1.683 16.985 0.857 3.933 
m2c170r1.htb 23.762 187.341 19.795 0.168 0.000 29.208 27.723 24.257 34.406 33.416 38.861 37.624 42.327 30.446 33.911 3.919 2.722 2.403 5.184 3.178 4.338 4.983 3.915 1.503 3.596 30.693 37.426 36.040 16.584 4.950 5.941 2.970 3.218 4.950 23.762 4.850 3.757 2.730 2.656 1.548 2.681 1.683 1.889 1.808 1.235 
m2c172r1.htb 8.663 346.907 139.923 0.000 0.001 14.191 15.099 13.366 8.168 5.941 6.601 6.188 2.640 13.366 20.462 1.838 2.158 1.361 1.178 3.025 1.746 3.716 1.439 2.214 1.439 9.653 12.624 14.521 18.482 23.020 22.030 17.822 13.201 11.551 15.842 1.082 1.642 1.320 0.330 1.574 2.442 4.001 0.873 2.877 1.512 
m2c174r1.htb 11.089 157.133 156.853 0.000 0.000 6.683 8.168 9.653 15.594 21.287 21.535 21.287 15.099 9.653 3.960 1.889 1.830 1.889 0.857 1.777 0.857 2.113 1.268 1.574 1.235 3.960 4.208 6.683 18.069 26.980 25.743 24.010 12.871 8.168 7.426 0.808 1.429 1.642 1.268 3.378 3.645 4.158 3.763 0.719 2.113 
m2c175r1.htb 4.950 151.259 20.065 0.007 0.001 15.347 15.050 20.050 24.010 20.792 24.257 23.366 20.545 18.812 7.921 5.431 1.015 4.070 1.021 0.990 2.304 4.091 1.636 1.213 1.278 9.307 15.594 7.723 7.178 9.158 6.683 2.723 4.950 6.683 9.653 1.589 2.753 1.542 1.478 0.845 0.248 1.422 2.021 2.404 1.422 
m2c176r1.htb 7.129 30.510 97.228 0.010 0.000 20.594 28.515 18.020 20.396 16.040 14.059 9.703 10.099 14.653 18.218 5.279 1.502 2.874 1.904 2.999 2.023 2.831 3.040 2.979 2.230 8.317 12.079 27.129 25.941 22.376 14.851 8.515 7.723 10.297 6.337 2.118 1.764 2.029 2.605 2.680 2.778 1.338 2.460 2.680 0.828 
m2c177r1.htb 7.096 53.633 101.350 0.005 0.045 12.277 15.446 7.327 11.881 15.248 11.089 6.931 4.752 2.574 10.693 1.140 1.589 1.338 3.621 0.965 4.163 1.917 2.197 0.564 2.765 3.564 3.366 8.713 11.089 6.139 5.545 2.574 3.564 5.149 1.980 1.589 0.828 1.374 3.661 1.764 2.029 0.564 0.751 1.542 0.926 
m2c178r1.htb 19.604 108.470 141.685 0.011 0.000 36.634 35.050 33.168 29.950 34.653 39.109 40.594 31.436 23.762 35.891 2.251 3.239 2.442 2.036 1.762 3.196 2.651 3.088 2.425 1.912 14.109 27.228 48.713 61.634 66.089 55.941 35.644 31.188 45.297 17.574 1.422 1.178 2.874 3.167 1.636 2.604 1.949 2.081 2.897 1.912 
