FILE	         Spon	 HTIve	 HTIvi	 VesP	 VisP	 VesPre	 VisPre	 VesSlo	 Vis
m2c382r1.htb 7.214 10.184 6.931 5.941 9.477 9.901 12.164 9.477 13.013 13.154 4.150 3.779 2.858 2.556 4.348 5.176 4.267 3.423 5.345 6.228 
m2c384r1.htb 37.822 39.802 30.297 22.376 28.911 28.911 26.139 34.653 30.891 41.584 3.162 7.153 2.675 8.563 4.970 5.748 7.022 10.732 8.614 8.134 
m2c392r1.htb 27.723 24.505 29.703 36.634 39.604 37.376 45.297 38.614 39.604 30.446 9.047 7.426 8.254 7.001 6.143 11.213 8.338 9.020 4.537 5.851 
m2c403r1.htb 21.782 19.406 22.772 21.980 26.931 30.891 29.109 28.713 26.535 24.752 3.898 2.053 1.852 1.085 5.530 2.146 6.006 2.524 3.665 5.468 
m2c409r1.htb 3.564 6.535 7.921 12.871 9.901 8.119 4.356 4.752 2.772 4.950 1.502 4.177 3.208 6.143 2.322 2.657 3.401 2.835 2.563 1.565 
m2c417r1.htb 24.356 21.386 25.743 24.356 20.792 18.020 18.020 15.446 19.010 23.168 3.542 1.502 4.259 5.359 3.052 4.970 4.769 0.886 3.528 3.611 
m2c423r1.htb 6.139 7.327 8.911 11.881 15.446 13.663 15.050 10.693 10.099 7.921 3.239 1.129 2.800 3.960 3.744 0.828 5.019 3.084 1.904 3.960 
m2c427r1.htb 2.970 2.772 0.396 0.594 0.594 0.396 1.188 0.990 7.525 6.931 1.852 2.146 0.542 0.886 0.542 0.542 1.085 0.700 3.328 1.565 
m2c429r1.htb 27.970 26.980 26.980 23.267 19.802 14.356 12.376 9.406 8.911 20.792 5.680 3.824 2.195 1.278 6.954 4.001 2.061 3.284 2.287 5.239 
m2c436r1.htb 19.208 16.832 23.366 22.574 27.525 31.089 32.673 29.505 25.347 20.990 4.779 3.960 2.852 4.921 1.904 3.997 3.501 6.159 3.611 6.355 
m2c441r1.htb 13.861 16.436 14.653 11.089 3.960 2.970 1.584 1.980 2.970 5.743 2.800 3.178 4.395 5.164 3.430 1.852 0.886 0.990 2.322 0.828 
m2c443r1.htb 5.941 6.106 10.297 10.891 8.515 9.406 11.881 8.911 4.752 6.931 3.131 1.705 3.178 2.800 4.406 2.146 2.887 4.748 1.904 1.980 
m2c445r1.htb 17.822 23.366 17.228 22.970 28.119 32.475 36.238 35.050 19.802 19.010 2.524 5.924 3.809 1.904 4.980 1.627 2.169 6.246 2.887 3.985 
m2c450r1.htb 12.871 10.693 10.297 11.683 11.683 15.842 16.436 9.109 3.366 10.099 3.430 1.627 5.965 5.998 4.970 4.483 3.254 4.612 2.384 4.282 
m5c4r1.htb 35.502 35.644 39.463 47.808 39.745 42.291 45.686 42.433 53.465 42.574 6.503 5.393 16.102 5.960 6.798 8.396 7.847 4.256 9.650 7.775 
m5c6r1.htb 54.059 75.248 46.535 50.099 48.515 49.505 71.089 65.347 79.802 65.941 11.769 33.961 15.386 12.179 9.726 13.737 23.023 20.591 25.229 5.841 
m5c7r1.htb 7.261 5.116 6.337 7.096 7.525 7.921 7.921 5.776 6.931 7.591 3.046 1.157 1.328 1.316 2.937 1.534 2.887 2.207 2.711 2.229 
m5c8r1.htb 9.901 7.723 14.257 16.238 24.752 31.089 25.743 19.604 12.475 11.683 5.557 3.528 5.924 8.360 9.314 6.439 10.687 5.530 3.678 4.717 
m5c13r1.htb 7.129 4.752 4.356 5.545 9.505 14.653 15.644 13.465 9.901 6.535 2.835 1.627 3.328 2.053 3.100 5.618 2.563 3.873 5.468 4.516 
m5c14r1.htb 28.713 37.822 33.465 38.614 32.079 28.515 17.624 19.604 31.287 28.119 11.224 11.448 7.586 5.899 10.208 17.240 8.671 4.106 4.235 7.624 
m5c15r1.htb 25.347 28.713 24.950 17.426 6.931 8.119 6.139 6.733 13.663 25.941 3.809 3.898 3.860 5.841 1.565 4.165 2.835 3.239 4.820 5.662 
m5c25r1.htb 8.416 5.281 4.290 3.795 5.611 4.290 5.776 4.125 2.805 5.776 3.691 1.843 1.947 2.116 1.353 3.046 3.396 1.586 1.922 2.459 
m5c29r1.htb 1.815 2.475 4.620 3.795 3.960 4.455 9.901 18.388 16.502 5.611 1.922 1.213 3.353 3.030 2.077 1.213 3.372 6.784 6.125 3.468 
m5c30r1.htb 40.198 28.317 22.574 31.881 39.010 35.446 38.416 34.059 39.604 38.020 10.208 3.936 6.620 5.350 9.538 5.116 4.450 4.728 4.950 2.582 
m5c35r1.htb 23.432 14.191 10.396 10.231 14.851 16.502 22.937 16.337 11.386 20.957 6.764 6.220 6.824 4.368 9.372 7.737 7.756 5.899 5.765 5.855 
m5c37r1.htb 17.228 19.604 24.158 27.129 28.119 25.941 19.010 20.396 22.574 21.782 3.542 5.019 5.539 5.495 5.627 4.282 2.563 3.542 4.505 3.358 
m5c38r1.htb 67.129 77.624 72.673 71.287 55.842 58.614 61.584 58.218 48.713 51.485 18.462 11.852 19.698 4.428 8.092 12.610 14.200 16.063 16.925 13.320 
m5c40r1.htb 23.564 18.218 10.693 8.317 5.347 3.960 4.554 6.139 5.743 15.842 6.766 7.592 5.304 3.997 1.930 3.501 1.930 3.239 1.627 3.638 
m5c42r1.htb 26.337 24.752 25.149 22.772 16.040 14.455 10.693 14.455 15.446 18.020 3.809 10.384 5.029 5.773 5.116 6.515 4.046 3.019 3.542 6.945 
m5c46r1.htb 16.007 16.832 17.822 17.162 22.277 21.947 19.802 16.997 14.851 13.531 3.830 3.486 3.651 3.687 5.627 2.898 4.769 4.577 1.534 3.633 
m5c49r1.htb 16.584 14.604 9.158 11.139 14.109 15.842 32.921 23.515 7.426 12.376 3.824 5.446 1.691 3.824 2.195 5.830 8.018 5.680 3.660 4.950 
m5c54r1.htb 5.545 5.347 7.921 4.950 6.337 11.287 6.337 9.703 11.287 6.139 2.765 2.852 3.570 2.214 2.279 4.118 3.542 2.364 3.744 4.559 
m5c60r1.htb 37.228 31.881 22.970 22.376 19.208 17.822 28.911 30.297 27.525 36.436 2.582 6.278 2.029 7.363 3.401 1.565 7.586 7.160 2.747 4.665 
m5c63r1.htb 31.825 35.785 42.574 49.222 47.808 44.696 36.209 37.624 38.472 37.058 7.700 5.980 4.783 4.267 8.942 7.784 11.685 7.365 9.348 7.793 
m5c66r1.htb 31.188 37.129 30.858 36.799 50.000 50.825 50.990 41.749 24.752 26.073 14.331 15.950 14.597 9.233 11.761 9.490 9.409 12.293 11.580 16.095 
m5c67r1.htb 23.762 20.297 16.337 19.554 16.832 18.564 19.059 23.762 34.901 32.426 2.425 2.620 2.357 2.475 3.333 3.271 2.604 1.143 4.072 2.195 
m5c69r1.htb 3.960 2.228 0.743 1.238 17.822 22.525 41.089 50.990 12.376 6.683 1.617 1.246 0.495 1.246 9.531 6.333 7.475 16.498 5.913 3.558 
m5c70r1.htb 8.168 11.881 16.089 25.743 26.733 27.228 33.663 33.168 33.416 20.297 3.065 4.278 2.475 2.287 2.681 5.858 5.542 4.162 5.385 5.858 
m5c71r1.htb 8.062 8.345 7.355 3.112 4.385 9.194 9.618 11.598 3.960 3.678 6.750 7.472 5.203 2.994 2.482 5.039 9.863 7.224 3.430 2.955 
