FILE	 Spon	 VesPref	 VisPref	 VesP	 VisP	 VesDDI	 VisDDI	 Congruency
m5c597r1.htb	 33.993	 245.275	 37.948	 0.012	 0.139	 -0.068	 -1.994	 -0.455	 
m5c601r1.htb	 33.663	 185.528	 20.840	 0.555	 0.007	 -1.274	 -2.182	 0.047	 
m5c600r1.htb	 29.373	 236.140	 14.097	 0.984	 0.001	 -0.218	 -4.370	 0.299	 
m5c599r1.htb	 28.465	 239.103	 11.387	 0.077	 0.000	 -0.282	 -4.346	 -0.443	 
m5c603r1.htb	 61.386	 353.063	 296.860	 0.793	 0.000	 0.278	 -0.816	 0.088	 
m5c604r1.htb	 43.069	 71.606	 343.087	 0.855	 0.095	 -0.030	 -1.500	 0.242	 
m5c605r1.htb	 33.911	 270.731	 116.401	 0.008	 0.000	 -1.619	 1.732	 -0.523	 
m5c606r1.htb	 59.901	 260.189	 126.642	 0.088	 0.000	 0.498	 6.577	 0.019	 
m5c607r1.htb	 66.089	 250.859	 126.318	 0.031	 0.001	 -1.013	 1.626	 -0.462	 
m5c610r1.htb	 38.119	 9.506	 161.247	 0.015	 0.001	 0.951	 0.471	 -0.255	 
m5c611r1.htb	 37.954	 291.551	 50.502	 0.870	 0.006	 -0.906	 -3.561	 0.273	 
m5c612r1.htb	 78.878	 242.363	 24.330	 0.364	 0.012	 0.443	 -9.244	 -0.214	 
m5c613r1.htb	 51.815	 164.089	 24.817	 0.762	 0.000	 -2.161	 -17.655	 -0.213	 
m5c615r1.htb	 19.554	 235.449	 141.341	 0.793	 0.000	 0.167	 4.006	 -0.352	 
m5c616r1.htb	 29.373	 295.496	 112.515	 0.840	 0.004	 -0.354	 1.585	 -0.742	 
m5c617r1.htb	 31.931	 214.012	 46.502	 0.995	 0.247	 0.311	 0.375	 -0.194	 
m5c619r1.htb	 46.205	 240.058	 140.959	 0.410	 0.027	 0.060	 0.940	 -0.219	 
m5c620r1.htb	 62.046	 226.688	 134.547	 0.600	 0.057	 0.260	 1.013	 0.236	 
m5c621r1.htb	 73.267	 287.142	 27.144	 0.788	 0.003	 0.402	 -0.424	 0.110	 
m5c622r1.htb	 55.116	 203.060	 26.005	 0.971	 0.000	 -0.214	 -4.107	 -0.567	 
m5c625r1.htb	 19.802	 242.822	 13.625	 0.112	 0.000	 -0.655	 -1.966	 -0.193	 
m5c624r1.htb	 72.772	 321.932	 14.783	 0.539	 0.000	 -1.859	 -4.011	 0.457	 
m5c626r1.htb	 28.465	 20.017	 7.269	 0.018	 0.001	 0.866	 -5.142	 0.290	 
m5c629r1.htb	 35.891	 28.519	 54.411	 0.553	 0.000	 -0.561	 -5.334	 0.328	 
m5c628r1.htb	 31.353	 325.754	 34.833	 0.044	 0.000	 -0.679	 -4.089	 -0.105	 
m5c630r1.htb	 37.624	 292.124	 5.721	 0.171	 0.000	 0.329	 -5.490	 0.094	 
m5c633r1.htb	 15.512	 283.385	 45.367	 0.857	 0.000	 -0.977	 -5.236	 -0.088	 
m5c634r1.htb	 51.485	 204.031	 18.875	 0.946	 0.001	 -0.107	 -3.276	 -0.589	 
m5c632r1.htb	 41.832	 75.803	 20.332	 0.828	 0.004	 -0.728	 -6.701	 0.350	 
m5c635r1.htb	 67.327	 2.699	 209.255	 0.304	 0.000	 -0.645	 3.171	 -0.154	 
m5c636r1.htb	 30.693	 311.191	 190.141	 NaN	 NaN	 0.040	 3.281	 -0.268	 
m5c637r1.htb	 30.363	 286.540	 171.985	 0.096	 0.000	 -0.862	 3.547	 -0.354	 
m5c639r1.htb	 35.644	 354.123	 159.684	 0.680	 0.000	 0.427	 8.643	 -0.366	 
m5c640r1.htb	 33.993	 337.500	 144.878	 0.348	 0.000	 -1.941	 5.407	 -0.612	 
m5c641r1.htb	 40.594	 212.693	 127.890	 0.181	 0.000	 1.743	 5.295	 0.043	 
m5c643r1.htb	 44.554	 339.384	 137.473	 0.087	 0.003	 -0.959	 2.014	 -0.487	 
m5c644r1.htb	 32.673	 338.024	 153.535	 0.018	 0.000	 -3.464	 8.777	 -0.583	 
m5c645r1.htb	 34.653	 330.120	 159.275	 0.095	 0.000	 1.416	 13.236	 -0.380	 
m5c647r1.htb	 14.521	 280.739	 148.591	 0.268	 0.001	 -0.135	 3.633	 -0.422	 
m5c648r1.htb	 22.772	 328.378	 156.239	 0.050	 0.000	 -0.360	 27.288	 -0.574	 
m5c649r1.htb	 30.693	 8.882	 167.101	 0.530	 0.000	 -0.470	 6.333	 -0.436	 
m5c652r1.htb	 35.396	 226.658	 14.461	 0.245	 0.000	 -1.215	 -10.100	 -0.160	 
m5c651r1.htb	 49.175	 258.564	 13.975	 0.155	 0.003	 -1.614	 -2.874	 -0.048	 
m5c653r1.htb	 47.772	 92.686	 355.806	 0.893	 0.000	 -0.906	 -18.536	 0.158	 
m5c655r1.htb	 11.881	 305.615	 29.875	 0.618	 0.000	 -1.844	 -6.096	 0.346	 
m5c656r1.htb	 11.881	 23.525	 28.787	 0.121	 0.000	 -1.132	 -3.425	 0.672	 
m5c657r1.htb	 58.168	 281.842	 88.249	 0.458	 0.000	 -1.584	 -0.612	 -0.376	 
m5c660r1.htb	 63.861	 66.702	 356.798	 0.297	 0.000	 0.881	 -12.779	 0.271	 
m5c658r1.htb	 30.033	 73.235	 8.689	 0.475	 0.000	 -0.123	 -6.694	 0.240	 
m5c659r1.htb	 29.373	 305.722	 2.158	 0.744	 0.000	 0.544	 -3.598	 -0.008	 
m5c662r1.htb	 68.069	 206.239	 69.956	 0.033	 0.000	 0.456	 0.149	 -0.710	 
m5c663r1.htb	 91.337	 290.471	 104.411	 0.976	 0.001	 0.612	 4.665	 -0.539	 
m5c664r1.htb	 66.007	 327.386	 119.637	 0.362	 0.046	 -0.264	 3.509	 -0.518	 
m5c666r1.htb	 60.396	 276.507	 221.928	 0.922	 0.000	 -0.243	 4.801	 0.233	 
m5c667r1.htb	 98.812	 279.739	 238.481	 0.088	 0.000	 -0.696	 2.045	 0.747	 
m5c668r1.htb	 54.950	 185.515	 220.456	 0.526	 0.000	 0.977	 2.820	 0.728	 
m5c669r1.htb	 62.129	 239.247	 100.919	 0.265	 0.000	 0.592	 2.864	 -0.491	 
m5c670r1.htb	 50.495	 242.199	 277.869	 0.514	 0.000	 0.758	 0.101	 0.085	 
m5c671r1.htb	 58.416	 313.501	 317.027	 0.159	 0.000	 -0.099	 -5.412	 0.867	 
m5c672r1.htb	 71.287	 222.615	 39.042	 0.014	 0.000	 1.049	 -1.771	 -0.527	 
m5c673r1.htb	 57.426	 55.939	 82.995	 0.070	 0.001	 -2.130	 1.427	 0.120	 
m5c674r1.htb	 60.396	 356.486	 46.456	 0.581	 0.003	 -0.435	 -0.170	 0.023	 
m5c675r1.htb	 57.426	 225.713	 51.761	 0.687	 0.169	 -0.080	 -0.418	 -0.478	 
m5c681r1.htb	 48.845	 262.923	 140.723	 0.990	 0.001	 -0.926	 3.569	 -0.142	 
m5c682r1.htb	 76.832	 280.152	 143.302	 0.347	 0.000	 -1.058	 5.764	 -0.769	 
m5c683r1.htb	 39.851	 274.935	 161.187	 0.000	 0.000	 -1.045	 2.633	 -0.387	 
m5c684r1.htb	 19.554	 263.151	 136.795	 0.135	 0.000	 2.183	 4.940	 -0.390	 
m5c685r1.htb	 37.228	 264.561	 141.449	 0.206	 0.000	 0.273	 3.783	 -0.446	 
m5c686r1.htb	 50.495	 248.327	 172.625	 0.262	 0.002	 -0.265	 1.305	 0.093	 
m5c743r1.htb	 62.624	 270.701	 196.239	 0.127	 0.000	 0.352	 4.602	 0.348	 
m5c745r1.htb	 30.941	 165.135	 162.671	 0.603	 0.000	 0.285	 11.669	 0.152	 
